Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 0 NA NA 167.6 -1.4 80.9 5
46 8 NA NA 167.2 -1.4 80.8 40.3
47 10 NA NA 168.3 -1.4 80.4 40.4
48 137 NA NA 168.2 -1.4 75.9 45.5
49 133 NA NA 161.1 -1.4 75.5 45.3
50 93 NA NA 164.5 -1.3 93.6 43.7
51 6 NA NA 167.9 -0.9 144.4 40.2
52 1 NA NA 141.3 -0.5 198.6 40
53 31 NA NA 47.4 -0.4 216.7 41.2
1 4 662 12 168.4 0.2 293.9 40.2
2 3 690 29 167.7 0.2 300.6 40.1
3 2 452 7 168.6 -0.1 251.1 40.1
4 39 855 11 168.3 0.4 321.4 41.6
5 20 835 32 168.2 0 270.3 40.8
6 1 820 31 168.4 -0.1 247.4 40
7 1 759 26 166.5 0 262.9 40
8 0 809 12 170.1 0.2 299.1 40
9 7 724 18 166.6 0.6 350.7 40.3
10 2 475 5 166.9 0 265.3 40.1
11 1 92 2 171 0.1 274.9 40
12 20 319 1 130.8 3.1 685 40.8
13 12 641 54 167.3 0.7 360.6 40.5
14 3 600 48 166.1 0.5 335.4 40.1
15 7 582 56 172 0.2 299 40.3
16 0 273 16 164.4 0 269 40
17 0 120 9 173.2 -0.1 258.9 40
18 2 191 9 162.8 0.5 337.3 40.1
19 0 96 3 166.6 1.1 415 40
20 0 NA NA 160 2.2 570 40
21 0 NA NA 163.8 0.3 305.6 40
22 0 NA NA 168.5 0 261.7 40
