"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.784 0.809 -3.814 -2.979 -2.794 -2.603 -1.773 1.108 2700
"trib_sd.P" 0.702 0.89 0.206 0.338 0.474 0.758 2.594 1.001 2400
"flow_mu.P" -0.136 0.117 -0.272 -0.172 -0.138 -0.104 0.003 1.011 3000
"flow_sd.P" 0.093 0.167 0.021 0.04 0.06 0.099 0.351 1.001 3000
"pro_sd.P" 0.539 0.021 0.498 0.525 0.538 0.553 0.582 1.002 1100
"b0_pCap[1]" -2.989 0.052 -3.091 -3.023 -2.99 -2.955 -2.889 1.004 540
"b0_pCap[2]" -3.073 0.041 -3.155 -3.101 -3.072 -3.044 -2.994 1.002 1200
"b0_pCap[3]" -2.349 0.048 -2.442 -2.381 -2.35 -2.316 -2.254 1.006 360
"b0_pCap[4]" -2.774 1.508 -4.659 -3.174 -2.8 -2.404 -0.597 1.094 3000
"b0_pCap[5]" -2.791 1.394 -4.841 -3.168 -2.788 -2.431 -0.79 1.046 3000
"b0_pCap[6]" -2.805 1.371 -4.77 -3.178 -2.803 -2.443 -0.811 1.049 3000
"b0_pCap[7]" -2.849 1.36 -4.933 -3.21 -2.815 -2.436 -0.966 1.025 2500
"b0_pCap[8]" -2.76 1.689 -4.685 -3.152 -2.798 -2.427 -0.857 1.126 3000
"b_flow[1]" -0.117 0.047 -0.206 -0.149 -0.118 -0.086 -0.024 1.003 800
"b_flow[2]" -0.142 0.043 -0.23 -0.171 -0.141 -0.113 -0.061 1.001 2100
"b_flow[3]" -0.158 0.043 -0.246 -0.187 -0.156 -0.13 -0.074 1.002 1000
"b_flow[4]" -0.136 0.24 -0.402 -0.19 -0.137 -0.085 0.142 1.008 2100
"b_flow[5]" -0.141 0.213 -0.398 -0.191 -0.138 -0.084 0.11 1.047 3000
"b_flow[6]" -0.138 0.166 -0.409 -0.192 -0.138 -0.085 0.151 1.003 2800
"b_flow[7]" -0.135 0.238 -0.402 -0.193 -0.139 -0.084 0.116 1.073 3000
