"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.818 0.56 -3.839 -2.996 -2.819 -2.622 -1.834 1.002 3000
"trib_sd.P" 0.674 0.678 0.205 0.338 0.482 0.737 2.494 1.001 3000
"flow_mu.P" -0.143 0.163 -0.276 -0.173 -0.139 -0.103 0.007 1.178 2900
"flow_sd.P" 0.107 0.484 0.022 0.04 0.06 0.096 0.341 1.002 3000
"pro_sd.P" 0.539 0.022 0.498 0.524 0.539 0.553 0.583 1.002 1400
"b0_pCap[1]" -2.989 0.053 -3.093 -3.025 -2.988 -2.952 -2.889 1.003 860
"b0_pCap[2]" -3.071 0.043 -3.157 -3.1 -3.071 -3.042 -2.989 1.007 310
"b0_pCap[3]" -2.349 0.048 -2.442 -2.383 -2.35 -2.317 -2.252 1.008 280
"b0_pCap[4]" -2.843 1.16 -4.707 -3.199 -2.811 -2.437 -1.091 1.035 2900
"b0_pCap[5]" -2.819 1.121 -4.893 -3.208 -2.809 -2.423 -0.98 1.007 3000
"b0_pCap[6]" -2.814 1.023 -4.721 -3.17 -2.799 -2.426 -0.939 1.006 3000
"b0_pCap[7]" -2.836 1.133 -5.018 -3.189 -2.825 -2.445 -0.981 1.031 3000
"b0_pCap[8]" -2.811 1.231 -4.608 -3.175 -2.819 -2.422 -0.918 1.054 3000
"b_flow[1]" -0.115 0.048 -0.204 -0.148 -0.116 -0.085 -0.017 1.005 430
"b_flow[2]" -0.144 0.043 -0.229 -0.171 -0.145 -0.115 -0.06 1.003 970
"b_flow[3]" -0.156 0.042 -0.241 -0.184 -0.155 -0.127 -0.076 1.002 1800
"b_flow[4]" -0.142 0.553 -0.411 -0.191 -0.14 -0.086 0.126 1.111 2800
"b_flow[5]" -0.143 0.32 -0.408 -0.192 -0.139 -0.086 0.122 1.101 3000
"b_flow[6]" -0.137 0.388 -0.403 -0.193 -0.137 -0.085 0.137 1.094 1000
"b_flow[7]" -0.144 0.296 -0.388 -0.193 -0.14 -0.086 0.144 1.092 3000
"b_flow[8]" -0.154 0.503 -0.405 -0.19 -0.138 -0.087 0.111 1.176 3000
"pCap_U[1]" 0.057 0.031 0.018 0.035 0.05 0.071 0.138 1.002 1400
"pCap_U[2]" 0.056 0.031 0.018 0.034 0.049 0.07 0.137 1.001 3000
"pCap_U[3]" 0.056 0.029 0.017 0.036 0.05 0.07 0.131 1.002 1000
"pCap_U[4]" 0.056 0.03 0.018 0.035 0.05 0.069 0.133 1.002 1900
"pCap_U[5]" 0.055 0.029 0.018 0.034 0.049 0.069 0.129 1.001 3000
"pCap_U[6]" 0.055 0.029 0.018 0.035 0.049 0.069 0.128 1.002 1600
"pCap_U[7]" 0.054 0.029 0.017 0.034 0.047 0.067 0.128 1.001 3000
"pCap_U[8]" 0.054 0.028 0.017 0.033 0.047 0.067 0.125 1.002 1000
"pCap_U[9]" 0.055 0.03 0.017 0.034 0.049 0.069 0.13 1.002 1700
"pCap_U[10]" 0.053 0.028 0.017 0.033 0.047 0.066 0.118 1.002 1300
"pCap_U[11]" 0.052 0.028 0.016 0.032 0.045 0.064 0.121 1.002 1800
"pCap_U[12]" 0.048 0.026 0.015 0.029 0.042 0.059 0.115 1.001 2100
"pCap_U[13]" 0.051 0.027 0.017 0.032 0.046 0.064 0.123 1.001 3000
"pCap_U[14]" 0.025 0.006 0.016 0.021 0.025 0.029 0.038 1.001 3000
"pCap_U[15]" 0.022 0.005 0.014 0.018 0.021 0.024 0.031 1.001 3000
"pCap_U[16]" 0.047 0.025 0.014 0.029 0.042 0.059 0.11 1.003 700
"pCap_U[17]" 0.032 0.006 0.022 0.028 0.032 0.036 0.044 1.001 3000
"pCap_U[18]" 0.027 0.015 0.007 0.016 0.023 0.033 0.066 1.002 1100
"pCap_U[19]" 0.044 0.024 0.014 0.028 0.039 0.055 0.107 1.001 2100
"pCap_U[20]" 0.049 0.026 0.016 0.031 0.044 0.062 0.115 1.002 1200
"pCap_U[21]" 0.049 0.026 0.015 0.031 0.044 0.062 0.117 1.001 3000
"pCap_U[22]" 0.045 0.024 0.015 0.028 0.04 0.056 0.104 1.001 3000
"pCap_U[23]" 0.045 0.025 0.014 0.028 0.039 0.057 0.109 1.001 3000
"pCap_U[24]" 0.048 0.026 0.016 0.03 0.043 0.06 0.113 1.001 3000
"pCap_U[25]" 0.05 0.027 0.016 0.032 0.044 0.061 0.121 1.001 2700
"pCap_U[26]" 0.052 0.028 0.016 0.033 0.046 0.064 0.124 1.002 1800
"pCap_U[27]" 0.052 0.027 0.016 0.033 0.046 0.065 0.122 1.002 1400
"pCap_U[28]" 0.051 0.027 0.016 0.031 0.045 0.063 0.124 1.001 3000
"pCap_U[29]" 0.05 0.027 0.016 0.031 0.045 0.064 0.121 1.001 3000
"pCap_U[30]" 0.052 0.028 0.017 0.032 0.046 0.066 0.123 1.001 2300
"pCap_U[31]" 0.054 0.029 0.016 0.034 0.047 0.067 0.127 1.003 700
"N[1]" 909.186 1130.713 4.55 113.35 404.55 1279.25 4183.747 1.001 3000
"N[2]" 438.117 788.408 1.503 29.772 125.75 422.599 3096.2 1.002 1500
"N[3]" 50.862 49.001 4.68 19.35 36.38 65.99 183.665 1.001 3000
"N[4]" 947.128 771.065 146.99 502.8 771.05 1146.25 2764.175 1.001 3000
"N[5]" 460.675 371.066 67.187 236.9 369.85 562.525 1420.025 1.001 3000
"N[6]" 25.955 34.977 1.738 7.876 16.99 32.522 100.012 1.002 1800
"N[7]" 9.587 15.379 0.065 1.385 4.491 11.67 48.73 1.002 1600
"N[8]" 8.617 12.254 0.055 1.332 4.204 10.76 42.942 1.005 470
"N[9]" 7.539 11.746 0.052 1.1 3.365 9.25 39.897 1.002 1400
"N[10]" 7.538 12.702 0.051 0.99 3.236 8.757 39.258 1.004 650
"N[11]" 63.086 60.312 7.15 25.455 46.545 79.277 219.915 1.001 3000
"N[12]" 6.865 12.628 0.031 0.73 2.7 7.32 39.63 1.006 370
"N[13]" 5.998 10.72 0.027 0.679 2.305 6.798 33.013 1.001 3000
"N[14]" 7.878 15.955 0.024 0.819 2.93 8.741 45.453 1.002 2700
"N[15]" 7.483 13.252 0.022 0.751 2.844 8.286 43.238 1.001 3000
"N[16]" 5.425 10.056 0.023 0.566 2.077 6.347 29.453 1.002 1700
"N[17]" 5.712 9.787 0.021 0.596 2.165 6.736 33.23 1.002 1700
"N[18]" 6.668 12.383 0.017 0.574 2.266 7.08 40.776 1.003 980
"N[19]" 5.161 9.803 0.021 0.526 1.905 5.898 28.092 1.002 1300
"N[20]" 4.803 7.741 0.019 0.544 1.942 5.691 26.553 1.004 560
"N[21]" 4.765 7.984 0.015 0.513 1.948 5.449 28.044 1.003 880
"N[22]" 41.205 41.418 3.681 15.03 28.8 52.455 159.6 1.001 3000
"N[23]" 5.507 10.58 0.019 0.519 1.954 5.753 31.933 1.001 2200
"N[24]" 61.675 57.447 6.795 25.167 45.36 79.112 219 1.002 1300
"N[25]" 18.775 23.97 1.351 5.181 11.33 23.36 76.09 1.001 3000
"N[26]" 35.846 36.474 3.523 12.727 24.74 46.157 130.407 1.001 3000
"N[27]" 35.314 39.4 3.635 11.977 23.145 44.227 137.31 1.001 3000
"N[28]" 4.226 7.991 0.011 0.339 1.495 4.607 25.742 1.003 730
"N[29]" 3.902 8.102 0.006 0.296 1.187 3.85 25.062 1.007 330
"N[30]" 3.381 7.032 0.004 0.216 0.972 3.406 22.044 1.006 370
"N[31]" 2.655 6.699 0 0.071 0.473 2.212 18.913 1.009 290
"Ntot" 3201.538 1656.934 1152.975 1996.75 2759 4053.75 7263.668 1.001 3000
"sd.N" 0.532 0.511 0.131 0.248 0.383 0.602 1.93 1.002 3000
"sd.Ne" 2.008 0.596 1.096 1.578 1.933 2.329 3.467 1.004 510
"deviance" 3032.802 47.529 2960 3003 3029 3056 3125 1.013 3000
