"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.193 0.347 -3.883 -3.409 -3.183 -2.978 -2.503 1.001 3000
"trib_sd.P" 1.069 0.295 0.668 0.865 1.015 1.205 1.812 1.001 3000
"flow_mu.P" -0.359 0.221 -0.813 -0.488 -0.348 -0.224 0.059 1.001 2400
"flow_sd.P" 0.628 0.234 0.281 0.464 0.589 0.757 1.172 1.001 3000
"pro_sd.P" 0.666 0.018 0.632 0.653 0.665 0.679 0.702 1.002 1800
"b0_pCap[1]" -3.009 0.065 -3.137 -3.053 -3.006 -2.967 -2.887 1.003 1100
"b0_pCap[2]" -3.199 1.168 -5.539 -3.917 -3.228 -2.496 -0.79 1.002 1100
"b0_pCap[3]" -1.615 0.22 -2.035 -1.771 -1.613 -1.462 -1.189 1.015 140
"b0_pCap[4]" -3.087 0.05 -3.182 -3.12 -3.088 -3.054 -2.991 1.004 700
"b0_pCap[5]" -2.352 0.058 -2.468 -2.392 -2.354 -2.312 -2.238 1.002 1000
"b0_pCap[6]" -3.17 1.143 -5.452 -3.898 -3.164 -2.452 -0.936 1.001 3000
"b0_pCap[7]" -3.179 1.152 -5.438 -3.89 -3.2 -2.459 -0.841 1.001 3000
"b0_pCap[8]" -4.521 0.181 -4.882 -4.64 -4.518 -4.404 -4.168 1.003 920
"b0_pCap[9]" -3.864 0.057 -3.973 -3.902 -3.865 -3.824 -3.752 1.004 730
"b0_pCap[10]" -3.858 0.126 -4.11 -3.943 -3.853 -3.771 -3.616 1.004 1500
"b0_pCap[11]" -3.618 0.065 -3.751 -3.663 -3.617 -3.574 -3.493 1.005 1100
"b0_pCap[12]" -1.941 0.064 -2.084 -1.98 -1.939 -1.899 -1.824 1.017 170
"b0_pCap[13]" -4.093 0.17 -4.458 -4.199 -4.084 -3.974 -3.785 1.001 3000
"b0_pCap[14]" -3.223 1.142 -5.439 -3.953 -3.223 -2.532 -0.977 1.001 3000
"b0_pCap[15]" -3.208 1.165 -5.546 -3.922 -3.223 -2.5 -0.959 1.001 3000
"b0_pCap[16]" -3.227 1.189 -5.448 -3.974 -3.224 -2.509 -0.834 1.001 3000
"b_flow[1]" -0.095 0.067 -0.222 -0.141 -0.096 -0.05 0.039 1.002 1700
"b_flow[2]" -0.353 0.7 -1.795 -0.756 -0.355 0.03 1.076 1.001 3000
"b_flow[3]" 0.22 0.227 -0.224 0.077 0.221 0.371 0.674 1.002 1500
"b_flow[4]" -0.155 0.061 -0.273 -0.197 -0.156 -0.112 -0.039 1.003 690
"b_flow[5]" -0.173 0.062 -0.298 -0.214 -0.173 -0.131 -0.054 1.002 3000
"b_flow[6]" -0.359 0.717 -1.847 -0.771 -0.34 0.053 1.11 1.002 1800
"b_flow[7]" -0.359 0.721 -1.874 -0.781 -0.35 0.046 1.092 1.001 3000
