"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"N[17]" 332.645 83.055 191.095 274.475 325.45 380.55 519.12 1.001 2800
"N[18]" 665.508 555.285 88.281 337.075 531.8 823.025 2096.1 1.002 1500
"N[19]" 283.24 93.436 135.097 215.375 270.4 336.7 496.277 1.001 3000
"N[20]" 55.163 31.743 12.916 31.662 49.005 72.19 131.927 1.001 2300
"N[21]" 40.485 28.205 5.804 20.557 33.69 53.83 112.625 1.001 3000
"N[22]" 84.722 45.636 23.21 51.667 75.785 108.325 195 1.001 3000
"N[23]" 88.215 49.846 21.41 51.47 78.365 114.5 206.302 1.001 3000
"N[24]" 53.294 46.555 7.045 23.31 40.835 68.772 170.82 1.002 1000
"N[25]" 177.879 155.078 27.396 90.217 139.25 218.4 554.512 1.001 3000
"N[26]" 61.818 59.941 7.776 26.827 46.99 77.832 198.432 1.002 1100
"N[27]" 402.323 317.484 57.81 211.6 328.55 496.075 1187.594 1.001 3000
"N[28]" 185.885 149.001 28.147 90.365 147.65 236.55 566.867 1.001 3000
"N[29]" 146.665 119.384 20.032 74.09 116.85 182.85 463.244 1.001 3000
"N[30]" 90.116 74.947 13.629 42.815 70.745 115.6 276 1.001 3000
"N[31]" 2.829 7.615 0 0.006 0.177 1.856 23.647 1.008 850
"Ntot" 27534.68 2886.692 22529.75 25490 27295 29310 33900.5 1.001 2100
"sd.N" 5.141 2.104 2.289 3.655 4.721 6.172 10.251 1.001 3000
"sd.Ne" 1.172 0.244 0.78 1.004 1.141 1.308 1.743 1.001 3000
"deviance" 3134.075 48.707 3053.975 3101 3130 3161 3243 1.001 3000
