"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.197 0.35 -3.894 -3.41 -3.2 -2.976 -2.51 1.001 3000
"trib_sd.P" 1.073 0.297 0.66 0.864 1.013 1.221 1.806 1.002 1400
"flow_mu.P" -0.358 0.218 -0.819 -0.485 -0.351 -0.226 0.071 1.001 3000
"flow_sd.P" 0.63 0.233 0.292 0.471 0.59 0.744 1.191 1.002 1600
"pro_sd.P" 0.665 0.018 0.632 0.653 0.665 0.677 0.701 1.001 3000
"b0_pCap[1]" -3.01 0.064 -3.134 -3.053 -3.01 -2.969 -2.879 1.004 500
"b0_pCap[2]" -3.194 1.155 -5.455 -3.936 -3.186 -2.462 -0.88 1.001 3000
"b0_pCap[3]" -1.62 0.223 -2.059 -1.769 -1.616 -1.467 -1.192 1.016 130
"b0_pCap[4]" -3.083 0.049 -3.177 -3.117 -3.083 -3.05 -2.988 1.004 520
"b0_pCap[5]" -2.348 0.06 -2.467 -2.39 -2.348 -2.306 -2.231 1.001 2400
"b0_pCap[6]" -3.203 1.19 -5.554 -3.944 -3.215 -2.445 -0.818 1.002 1900
"b0_pCap[7]" -3.194 1.159 -5.509 -3.922 -3.226 -2.485 -0.959 1.001 3000
"b0_pCap[8]" -4.521 0.188 -4.894 -4.647 -4.518 -4.395 -4.158 1.003 1000
"b0_pCap[9]" -3.853 0.056 -3.961 -3.891 -3.853 -3.816 -3.744 1.003 1700
"b0_pCap[10]" -3.841 0.127 -4.097 -3.925 -3.84 -3.755 -3.596 1.011 190
"b0_pCap[11]" -3.614 0.066 -3.742 -3.656 -3.615 -3.574 -3.486 1.011 220
"b0_pCap[12]" -1.933 0.063 -2.054 -1.976 -1.934 -1.89 -1.811 1.015 140
"b0_pCap[13]" -4.088 0.175 -4.454 -4.2 -4.078 -3.97 -3.766 1.007 860
"b0_pCap[14]" -3.231 1.175 -5.762 -3.915 -3.237 -2.53 -0.938 1.002 1600
"b0_pCap[15]" -3.164 1.169 -5.508 -3.871 -3.167 -2.454 -0.814 1.001 3000
"b0_pCap[16]" -3.152 1.17 -5.423 -3.885 -3.176 -2.421 -0.794 1.001 3000
"b_flow[1]" -0.098 0.069 -0.231 -0.144 -0.097 -0.053 0.035 1.012 310
"b_flow[2]" -0.352 0.677 -1.76 -0.733 -0.344 0.042 1.084 1.001 3000
"b_flow[3]" 0.203 0.238 -0.25 0.036 0.199 0.366 0.666 1.003 970
"b_flow[4]" -0.153 0.06 -0.272 -0.192 -0.154 -0.114 -0.033 1.001 2700
"b_flow[5]" -0.179 0.058 -0.295 -0.22 -0.178 -0.138 -0.069 1.003 1300
"b_flow[6]" -0.347 0.726 -1.847 -0.744 -0.349 0.079 1.075 1.001 3000
"b_flow[7]" -0.354 0.704 -1.792 -0.772 -0.346 0.066 0.949 1.001 3000
"b_flow[8]" 0.145 0.185 -0.219 0.019 0.145 0.266 0.501 1.003 940
"b_flow[9]" -0.308 0.063 -0.432 -0.35 -0.309 -0.263 -0.186 1.001 3000
"b_flow[10]" -0.738 0.138 -1.004 -0.829 -0.74 -0.648 -0.471 1.001 3000
"b_flow[11]" -0.208 0.098 -0.446 -0.261 -0.189 -0.137 -0.069 1.01 310
"b_flow[12]" -0.54 0.076 -0.69 -0.591 -0.539 -0.486 -0.398 1.039 61
"b_flow[13]" -1.738 0.483 -2.776 -2.043 -1.719 -1.414 -0.808 1.002 1400
"b_flow[14]" -0.364 0.694 -1.743 -0.771 -0.37 0.047 1.031 1.001 2900
"b_flow[15]" -0.36 0.705 -1.778 -0.784 -0.356 0.045 1.112 1.001 3000
"b_flow[16]" -0.358 0.707 -1.763 -0.764 -0.365 0.051 1.082 1.001 3000
"pCap_U[1]" 0.018 0.015 0.003 0.009 0.014 0.023 0.058 1.001 3000
"pCap_U[2]" 0.019 0.015 0.004 0.01 0.015 0.024 0.06 1.001 3000
"pCap_U[3]" 0.021 0.016 0.004 0.01 0.016 0.026 0.064 1.001 3000
"pCap_U[4]" 0.023 0.016 0.005 0.012 0.018 0.029 0.065 1.001 3000
"pCap_U[5]" 0.03 0.021 0.007 0.016 0.025 0.039 0.083 1.002 1500
"pCap_U[6]" 0.035 0.025 0.008 0.018 0.028 0.045 0.105 1.001 3000
"pCap_U[7]" 0.034 0.024 0.007 0.018 0.028 0.044 0.098 1.002 1100
"pCap_U[8]" 0.035 0.025 0.008 0.019 0.029 0.045 0.1 1.001 3000
"pCap_U[9]" 0.035 0.024 0.007 0.019 0.029 0.043 0.099 1.001 2600
"pCap_U[10]" 0.036 0.025 0.008 0.019 0.029 0.045 0.102 1.002 1300
"pCap_U[11]" 0.035 0.024 0.008 0.019 0.029 0.045 0.099 1.001 2800
"pCap_U[12]" 0.035 0.024 0.008 0.019 0.028 0.045 0.094 1.001 3000
"pCap_U[13]" 0.026 0.005 0.018 0.023 0.026 0.029 0.036 1.001 3000
"pCap_U[14]" 0.021 0.004 0.014 0.018 0.021 0.023 0.029 1.001 3000
"pCap_U[15]" 0.025 0.004 0.018 0.022 0.025 0.027 0.033 1.001 3000
"pCap_U[16]" 0.042 0.003 0.035 0.039 0.042 0.044 0.049 1.001 3000
"pCap_U[17]" 0.029 0.004 0.022 0.026 0.029 0.031 0.036 1.002 1800
"pCap_U[18]" 0.027 0.004 0.02 0.024 0.027 0.029 0.035 1.001 2900
"pCap_U[19]" 0.028 0.004 0.022 0.026 0.028 0.031 0.036 1.001 2300
"pCap_U[20]" 0.045 0.005 0.036 0.042 0.045 0.048 0.054 1.001 3000
"pCap_U[21]" 0.034 0.008 0.021 0.029 0.034 0.039 0.05 1.001 2600
"pCap_U[22]" 0.032 0.004 0.024 0.029 0.032 0.034 0.041 1.001 3000
"pCap_U[23]" 0.029 0.007 0.017 0.024 0.029 0.033 0.045 1.001 2100
"pCap_U[24]" 0.015 0.005 0.007 0.011 0.014 0.018 0.026 1.001 3000
"pCap_U[25]" 0.02 0.006 0.01 0.016 0.02 0.024 0.034 1.001 3000
"pCap_U[26]" 0.038 0.009 0.023 0.032 0.037 0.043 0.057 1.001 2100
"pCap_U[27]" 0.015 0.005 0.007 0.012 0.015 0.018 0.026 1.001 3000
"pCap_U[28]" 0.015 0.003 0.01 0.013 0.015 0.017 0.021 1.001 3000
"pCap_U[29]" 0.027 0.01 0.012 0.02 0.026 0.033 0.051 1.001 3000
"pCap_U[30]" 0.036 0.026 0.008 0.019 0.029 0.046 0.108 1.003 900
"pCap_U[31]" 0.035 0.024 0.008 0.018 0.029 0.045 0.097 1.001 3000
"N[1]" 717.04 511.592 62.914 286.775 593.05 1065.25 1862.05 1.002 1500
"N[2]" 188.989 316.174 1.956 21.587 67.695 194.525 1242.025 1.001 3000
"N[3]" 109.301 286.377 1.555 12.592 32.56 96.117 701.563 1.001 3000
"N[4]" 58.36 177.953 1.054 7.658 20.425 52.32 346.747 1.001 3000
"N[5]" 33.032 64.375 1.076 6.124 15.19 34.24 182.001 1.001 3000
"N[6]" 34.196 34.739 3.915 12.34 23.435 43.202 126.51 1.001 3000
"N[7]" 13.965 15.209 1.202 4.971 9.51 17.57 55.404 1.001 3000
"N[8]" 13.898 14.627 1.284 5.001 9.788 17.382 50.804 1.003 840
"N[9]" 16.416 15.614 1.577 6.459 12 20.962 59.761 1.005 540
"N[10]" 20.894 18.501 2.083 8.519 15.56 27.84 69.137 1.005 430
"N[11]" 28.576 22.772 3.598 12.95 22.6 37.655 89.554 1.009 300
"N[12]" 58.435 48.788 7.897 27.79 46.27 74.107 180.617 1.002 2000
"N[13]" 229.749 96.004 89.534 160.8 215.35 282.725 460.9 1.001 3000
"N[14]" 945.937 303.297 462.555 732.075 908.6 1119 1647.075 1.002 1800
"N[15]" 580.347 177.947 297.297 456.15 557.25 678.85 993.11 1.001 3000
"N[16]" 174.138 64.657 72.656 127.9 166.35 211.5 317.6 1.001 3000
"N[17]" 584.298 168.67 306.162 469 566.55 677.925 976.145 1.001 3000
"N[18]" 1207.229 295.566 712.457 1006 1185 1373 1850.025 1.002 1700
"N[19]" 1611.252 379.812 971.27 1356 1570 1812 2483.1 1.001 3000
"N[20]" 1802.193 326.156 1246.975 1578 1773 1991 2547.05 1.001 3000
"N[21]" 3362.074 1175.447 1541.825 2638.5 3226.5 3871.75 6163.449 1.001 3000
"N[22]" 1755.525 398.727 1077 1495.75 1715 1978.25 2623.05 1.001 3000
"N[23]" 1912.353 727.479 852.277 1460.75 1802 2215.25 3674.05 1.001 2100
"N[24]" 1723.482 822.051 545.242 1191 1574 2087.249 3809.324 1.001 3000
"N[25]" 2912.96 1442.172 982.107 2019.75 2667 3463.25 6529.3 1.001 3000
"N[26]" 903.387 332.38 394.455 689.1 860.7 1063.25 1682.768 1.002 1800
"N[27]" 724.742 358.564 218.895 486.825 659.9 884.85 1636.125 1.001 3000
"N[28]" 186.514 104.475 50.065 113.2 163.15 235.325 453.727 1.001 2500
"N[29]" 27.259 24.64 1.75 9.935 20.42 37.81 88.931 1.021 170
"N[30]" 7.119 11.326 0.024 1.069 3.288 8.321 37.141 1.044 140
"N[31]" 0.534 3.044 0 0 0.007 0.114 4.578 1.061 95
"Ntot" 21944.163 2542.115 17639.75 20207.5 21724.999 23350 27830 1.001 2800
