Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 0 NA NA 169.6 -0.8 287 2
46 0 NA NA 163.9 -0.8 266.9 2
47 1 NA NA 172.2 -0.8 274 40
48 7 NA NA 164.9 -0.8 262.1 40.3
49 28 NA NA 167.9 -0.9 253.1 41.1
50 79 NA NA 133.9 -0.8 260.3 43.2
51 1 NA NA 164.8 -0.8 262.4 40
52 0 NA NA 132 -0.9 255.9 40
53 0 NA NA 23.1 -0.8 261.4 40
1 0 NA NA 119.8 0.3 663.8 40
2 0 147 15 168.5 0.2 655.6 40
3 0 NA NA 167.6 -0.3 442.3 40
4 0 428 35 192.4 -0.5 382.1 40
5 8 387 53 143.9 -0.3 468.9 40.3
6 10 789 62 167.9 0.8 850 40.4
7 1 400 45 120.6 -0.4 423.1 40
8 2 282 19 140.5 4.1 2057.7 40.1
9 12 NA NA 94.5 2 1283 40.5
10 4 725 54 167.3 0.9 875.9 40.2
11 4 450 45 168.5 0.4 701.7 40.2
12 7 NA NA 168.2 0.5 740.4 40.3
13 15 269 26 169.3 0.5 743.7 40.6
14 26 272 6 167.9 0.2 628.3 41
15 39 157 2 190.7 0.1 595.7 41.6
16 48 597 12 172.1 0 564.3 41.9
17 29 NA NA 168.9 -0.1 517.9 41.2
18 8 NA NA 167.4 -0.1 534.6 40.3
19 5 NA NA 168.6 0 563.7 40.2
20 0 NA NA 166.8 -0.2 509.4 40
21 0 NA NA 166.5 -0.2 482.3 40
22 0 NA NA 168.6 -0.3 463.4 40
