"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.821 0.578 -3.827 -3.004 -2.808 -2.62 -1.888 1.003 3000
"trib_sd.P" 0.683 0.731 0.205 0.339 0.48 0.753 2.521 1.001 3000
"flow_mu.P" -0.139 0.086 -0.285 -0.174 -0.139 -0.106 0.011 1.002 1600
"flow_sd.P" 0.092 0.126 0.022 0.04 0.06 0.099 0.356 1.001 3000
"pro_sd.P" 0.54 0.022 0.498 0.525 0.539 0.555 0.584 1.001 3000
"b0_pCap[1]" -2.987 0.053 -3.09 -3.022 -2.986 -2.953 -2.881 1.003 1100
"b0_pCap[2]" -3.072 0.04 -3.151 -3.099 -3.071 -3.043 -2.994 1.005 480
"b0_pCap[3]" -2.347 0.048 -2.442 -2.379 -2.347 -2.315 -2.255 1.002 1400
"b0_pCap[4]" -2.799 1.085 -4.852 -3.175 -2.812 -2.43 -0.817 1.008 1800
"b0_pCap[5]" -2.809 1.074 -4.912 -3.175 -2.804 -2.418 -0.76 1.001 3000
"b0_pCap[6]" -2.821 1.248 -4.896 -3.199 -2.814 -2.45 -0.834 1.029 2600
"b0_pCap[7]" -2.834 1.138 -4.869 -3.201 -2.808 -2.451 -1.017 1.009 3000
"b0_pCap[8]" -2.782 1.184 -4.609 -3.191 -2.811 -2.427 -0.662 1.009 3000
"b_flow[1]" -0.116 0.048 -0.21 -0.148 -0.117 -0.087 -0.017 1.003 860
"b_flow[2]" -0.145 0.044 -0.232 -0.174 -0.145 -0.116 -0.06 1.001 2500
"b_flow[3]" -0.158 0.043 -0.247 -0.186 -0.157 -0.127 -0.074 1.002 1500
"b_flow[4]" -0.138 0.175 -0.417 -0.192 -0.142 -0.089 0.156 1.008 1400
"b_flow[5]" -0.138 0.151 -0.404 -0.195 -0.141 -0.086 0.146 1.001 3000
"b_flow[6]" -0.141 0.169 -0.434 -0.192 -0.137 -0.082 0.155 1.01 2200
"b_flow[7]" -0.138 0.165 -0.421 -0.192 -0.139 -0.085 0.162 1.003 1600
"b_flow[8]" -0.141 0.188 -0.42 -0.192 -0.142 -0.089 0.148 1.006 3000
"pCap_U[1]" 0.061 0.033 0.019 0.037 0.053 0.076 0.145 1.001 3000
"pCap_U[2]" 0.061 0.033 0.019 0.038 0.054 0.076 0.143 1.001 3000
"pCap_U[3]" 0.061 0.032 0.02 0.039 0.056 0.076 0.141 1.001 3000
"pCap_U[4]" 0.061 0.032 0.019 0.038 0.054 0.077 0.141 1.002 1600
"pCap_U[5]" 0.062 0.033 0.019 0.038 0.056 0.078 0.147 1.001 2900
"pCap_U[6]" 0.061 0.032 0.02 0.039 0.054 0.076 0.14 1.003 700
"pCap_U[7]" 0.063 0.034 0.02 0.039 0.056 0.08 0.147 1.001 2600
"pCap_U[8]" 0.061 0.032 0.019 0.039 0.055 0.076 0.145 1.002 1300
"pCap_U[9]" 0.061 0.032 0.019 0.039 0.055 0.077 0.139 1.001 3000
"pCap_U[10]" 0.049 0.005 0.039 0.045 0.049 0.053 0.059 1.001 3000
"pCap_U[11]" 0.087 0.012 0.066 0.079 0.087 0.095 0.112 1.001 3000
"pCap_U[12]" 0.041 0.023 0.012 0.024 0.036 0.051 0.097 1.001 2100
"pCap_U[13]" 0.088 0.012 0.065 0.079 0.087 0.095 0.113 1.001 3000
"pCap_U[14]" 0.04 0.006 0.029 0.036 0.04 0.044 0.052 1.001 3000
"pCap_U[15]" 0.032 0.006 0.022 0.028 0.032 0.036 0.045 1.001 3000
"pCap_U[16]" 0.095 0.009 0.078 0.089 0.095 0.102 0.114 1.001 3000
"pCap_U[17]" 0.122 0.008 0.105 0.116 0.122 0.127 0.139 1.001 2200
"pCap_U[18]" 0.051 0.028 0.016 0.032 0.045 0.064 0.122 1.001 3000
"pCap_U[19]" 0.053 0.029 0.017 0.033 0.046 0.066 0.125 1.001 3000
"pCap_U[20]" 0.056 0.029 0.018 0.035 0.049 0.069 0.132 1.001 3000
