Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 0 NA NA 22.8 2.3 871.9 10
46 43 NA NA 209.5 0.7 740.6 41.7
47 78 NA NA 123.5 0.3 704.7 43.1
48 88 NA NA 168 3.2 951.1 43.5
49 788 NA NA 167.8 0.7 740.4 71.5
50 1871 995 177 169 0.3 701.7 114.8
51 3392 1056 222 165 0.3 706.3 175.7
52 1036 NA NA 46.8 1.9 835.4 81.4
53 0 1008 258 50.8 1.8 830.1 40
1 3 998 199 140.5 -0.6 628.8 40.1
2 5 1000 222 192.2 -0.6 633.4 40.2
3 7 1032 207 171.5 -0.4 644 40.3
4 7 1002 286 164.5 -0.6 629.6 40.3
5 17 995 243 166.8 -0.6 628.7 40.7
6 13 1000 253 169.5 -0.6 628.4 40.5
7 9 996 260 168.8 -0.7 625.4 40.4
8 26 NA NA 166.8 -0.6 629.9 41
9 11 1990 391 167.8 -0.5 637.3 40.4
10 18 NA NA 173.2 -0.5 640 40.7
11 13 1542 362 167.5 -0.5 638.6 40.5
12 2 603 130 163.2 -0.5 642.6 40.1
13 5 NA NA 168.2 -0.6 632.7 40.2
14 12 NA NA 170.2 -0.7 626.4 40.5
15 18 NA NA 168.8 -0.6 627.6 40.7
16 1 NA NA 167.2 -0.3 653.7 40
17 1 NA NA 166.2 -0.5 639.1 40
18 2 NA NA 168.8 -0.4 645.3 40.1
19 23 NA NA 73.2 -0.5 638.6 40.9
20 4 NA NA 75 -0.4 650.1 40.2
21 0 NA NA 45 -0.4 645 40
22 0 NA NA 167.2 -0.3 652 40
