Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -1.1 227.3 5
46 NA NA NA 0 -1.1 216.7 5
47 0 NA NA 43 -1.2 208.3 5
48 0 NA NA 95.9 -1.2 205.1 5
49 0 NA NA 120.1 -1.2 192.4 5
50 52 NA NA 167.3 -1.2 200 42.1
51 742 NA NA 168.4 -1.2 211.1 69.7
52 108 NA NA 167.8 -1.2 202.7 44.3
53 10 NA NA 23.6 -1.2 203.9 40.4
1 389 1511 74 171.3 -1 242.9 55.6
2 2533 516 47 164.7 -0.1 430 141.3
3 1235 NA NA 123 2.7 1043.1 89.4
4 564 505 47 114.3 1.9 869.1 62.6
5 135 1008 40 171.3 1.2 720.6 45.4
6 102 846 26 130.5 0.4 551 44.1
7 34 1012 99 165.1 -0.1 447 41.4
8 9 1394 173 164.9 0.7 612.9 40.4
9 3 NA NA 142.3 0.5 564.7 40.1
10 6 NA NA 166.2 0.2 498.1 40.2
11 17 NA NA 141 -0.1 430.4 40.7
12 9 NA NA 168.1 -0.1 432.3 40.4
13 11 NA NA 169.8 0.1 484.4 40.4
14 33 NA NA 166 -0.1 440.6 41.3
15 25 NA NA 143.8 0 470.4 41
16 66 NA NA 167.8 1 682.1 42.6
17 77 NA NA 153.2 1 674.9 43.1
18 67 NA NA 167.9 0.5 563.1 42.7
19 30 NA NA 174 0.4 542.4 41.2
20 15 NA NA 168.8 0.6 598.3 40.6
21 11 NA NA 167.7 0.2 508.4 40.4
22 17 NA NA 168.2 0.9 658.1 40.7
