"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"pCap_U[29]" 0.025 0.018 0.006 0.013 0.02 0.032 0.074 1.001 3000
"pCap_U[30]" 0.028 0.019 0.006 0.015 0.023 0.035 0.077 1.002 1600
"pCap_U[31]" 0.028 0.021 0.006 0.015 0.023 0.036 0.083 1.001 3000
"N[1]" 883.571 976.35 8.557 146.075 480.45 1294 3551.025 1.001 2600
"N[2]" 591.404 823.717 4.201 68.327 237.25 732.45 3129.25 1.001 3000
"N[3]" 505.043 765.588 3.049 46.28 170.95 608.925 2975.399 1.001 2200
"N[4]" 979.766 2880.133 2.748 39.802 163.05 592.8 8143.45 1.002 1200
"N[5]" 734.604 825.725 61.059 310.375 547.65 895.775 2664.299 1.001 3000
"N[6]" 131.736 161.345 8.673 46.235 87.215 158.125 545.01 1.001 3000
"N[7]" 53.802 65.057 2.728 15.067 33.325 67.9 233.615 1.001 2100
"N[8]" 25.628 35.688 0.302 5.178 13.785 32.05 124.317 1.002 3000
"N[9]" 24.326 32.687 0.301 4.803 12.91 30.525 113.902 1.006 1100
"N[10]" 36.495 30.162 3.598 15.427 28.19 48.712 117.725 1.001 3000
"N[11]" 23.972 26.296 0.452 5.962 15.11 32.34 96.407 1.001 3000
"N[12]" 2060.702 830.421 819.302 1513.75 1942 2454 3993.524 1.002 1100
"N[13]" 598.063 130.362 369.195 505.3 588.4 678.925 880.355 1.001 2100
"N[14]" 47.243 30.108 8.782 25.497 40.89 61.142 121.62 1.003 780
"N[15]" 185.1 63.786 85.031 138.7 176 222.425 333.407 1.004 580
"N[16]" 246.843 105.822 87.238 169.8 231.45 307.7 496.402 1.001 3000
"N[17]" 233.428 69.301 120.195 182.875 226.4 275.7 390.002 1.001 3000
"N[18]" 120.677 143.42 10.059 41.975 80.065 148.925 483.014 1.001 3000
"N[19]" 121.635 163.866 8.399 41.032 77.105 144.525 491.277 1.001 3000
"N[20]" 191.879 206.094 15.508 75.162 134.65 235.3 726.87 1.001 3000
"N[21]" 11.799 18.971 0.061 1.608 5.422 14.167 62.691 1.001 3000
"N[22]" 10.545 18.93 0.06 1.263 4.436 11.77 60.773 1.002 2600
"N[23]" 12.261 27.833 0.032 0.918 3.458 11.842 72.168 1.007 540
"N[24]" 7.762 16.974 0.01 0.507 2.198 7.316 51.674 1.018 260
"N[25]" 5.418 13.563 0.003 0.291 1.352 4.807 35.443 1.047 76
"N[26]" 4.674 12.994 0 0.155 0.973 4.002 31.883 1.067 75
"N[27]" 3.162 7.888 0 0.077 0.592 2.743 23.522 1.082 56
"N[28]" 2.673 7.527 0 0.039 0.353 1.9 22.292 1.098 45
"N[29]" 2.236 8.914 0 0.015 0.209 1.317 15.241 1.093 53
"N[30]" 1.534 5.504 0 0.005 0.095 0.69 14.035 1.101 44
"N[31]" 0.777 4.12 0 0 0.011 0.186 6.472 1.094 47
"Ntot" 7858.729 3631.897 4034.85 5780.5 7071.498 8927.5 16262.493 1.001 2300
"sd.N" 0.818 0.901 0.139 0.262 0.478 1.034 3.229 1.047 60
"sd.Ne" 1.848 0.494 1.083 1.498 1.779 2.118 3.019 1.004 640
"deviance" 6037.628 53.069 5942.975 6003 6036 6068 6137 1.003 3000
