"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.771 0.582 -3.688 -2.975 -2.784 -2.59 -1.745 1.002 1400
"trib_sd.P" 0.703 0.916 0.199 0.332 0.479 0.756 2.758 1.001 3000
"flow_mu.P" -0.139 0.084 -0.286 -0.174 -0.139 -0.105 0.014 1.005 3000
"flow_sd.P" 0.101 0.359 0.021 0.041 0.061 0.101 0.405 1.002 2000
"pro_sd.P" 0.539 0.021 0.5 0.525 0.539 0.553 0.583 1.002 1400
"b0_pCap[1]" -2.984 0.052 -3.086 -3.02 -2.983 -2.949 -2.883 1.003 1800
"b0_pCap[2]" -3.073 0.04 -3.154 -3.101 -3.074 -3.045 -2.994 1.005 640
"b0_pCap[3]" -2.347 0.05 -2.446 -2.379 -2.347 -2.314 -2.247 1.004 580
"b0_pCap[4]" -2.797 1.375 -4.923 -3.156 -2.78 -2.408 -0.845 1.051 2000
"b0_pCap[5]" -2.765 1.113 -4.668 -3.144 -2.792 -2.387 -0.571 1.005 1600
"b0_pCap[6]" -2.769 1.31 -4.648 -3.15 -2.778 -2.396 -0.734 1.015 3000
"b0_pCap[7]" -2.73 1.308 -4.59 -3.135 -2.781 -2.395 -0.602 1.013 1900
"b0_pCap[8]" -2.735 1.486 -4.836 -3.156 -2.788 -2.371 -0.619 1.064 3000
"b_flow[1]" -0.118 0.048 -0.211 -0.15 -0.119 -0.086 -0.024 1.006 360
"b_flow[2]" -0.145 0.045 -0.234 -0.174 -0.146 -0.116 -0.053 1.001 2300
"b_flow[3]" -0.158 0.043 -0.246 -0.186 -0.156 -0.129 -0.077 1.001 3000
"b_flow[4]" -0.136 0.349 -0.437 -0.193 -0.141 -0.085 0.138 1.166 3000
"b_flow[5]" -0.141 0.223 -0.422 -0.194 -0.14 -0.087 0.152 1.023 1400
"b_flow[6]" -0.137 0.203 -0.422 -0.194 -0.139 -0.086 0.155 1.02 3000
"b_flow[7]" -0.136 0.309 -0.424 -0.198 -0.14 -0.087 0.169 1.118 2300
"b_flow[8]" -0.134 0.372 -0.427 -0.195 -0.142 -0.083 0.147 1.152 3000
"pCap_U[1]" 0.063 0.033 0.02 0.04 0.056 0.078 0.144 1.002 1100
"pCap_U[2]" 0.062 0.033 0.019 0.038 0.055 0.078 0.144 1.002 1700
"pCap_U[3]" 0.063 0.034 0.02 0.04 0.056 0.079 0.146 1.001 3000
"pCap_U[4]" 0.064 0.034 0.02 0.04 0.057 0.08 0.153 1.001 2900
"pCap_U[5]" 0.063 0.033 0.02 0.04 0.057 0.079 0.149 1.001 3000
"pCap_U[6]" 0.063 0.032 0.021 0.04 0.056 0.079 0.14 1.001 2600
"pCap_U[7]" 0.063 0.033 0.021 0.04 0.055 0.078 0.147 1.002 1900
"pCap_U[8]" 0.032 0.01 0.017 0.026 0.031 0.038 0.054 1.002 1700
"pCap_U[9]" 0.061 0.033 0.019 0.039 0.054 0.077 0.14 1.004 860
"pCap_U[10]" 0.026 0.008 0.013 0.02 0.025 0.031 0.045 1.001 2900
"pCap_U[11]" 0.035 0.004 0.027 0.032 0.035 0.038 0.044 1.001 3000
"pCap_U[12]" 0.04 0.005 0.03 0.036 0.04 0.044 0.052 1.001 3000
"pCap_U[13]" 0.027 0.005 0.018 0.024 0.027 0.03 0.037 1.001 3000
"pCap_U[14]" 0.036 0.005 0.027 0.032 0.036 0.039 0.047 1.001 3000
"pCap_U[15]" 0.027 0.005 0.019 0.024 0.026 0.03 0.036 1.001 3000
"pCap_U[16]" 0.075 0.007 0.061 0.07 0.075 0.079 0.09 1.001 3000
"pCap_U[17]" 0.026 0.004 0.018 0.023 0.026 0.029 0.035 1.001 3000
"pCap_U[18]" 0.03 0.005 0.022 0.027 0.03 0.033 0.04 1.001 3000
"pCap_U[19]" 0.024 0.005 0.016 0.021 0.024 0.027 0.034 1.001 3000
"pCap_U[20]" 0.022 0.004 0.015 0.019 0.022 0.025 0.03 1.001 3000
"pCap_U[21]" 0.035 0.005 0.026 0.032 0.035 0.039 0.045 1.001 3000
"pCap_U[22]" 0.037 0.006 0.026 0.033 0.037 0.041 0.051 1.001 3000
"pCap_U[23]" 0.035 0.007 0.023 0.03 0.035 0.039 0.049 1.001 3000
