Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -1.1 241.6 12
46 NA NA NA 0 -1.1 226 12
47 NA NA NA 0 -1.1 218.1 12
48 123 NA NA 49.5 -1.2 214.9 44.9
49 169 NA NA 149.2 -1.1 223.7 46.8
50 73 NA NA 141.9 -1.2 213 42.9
51 106 NA NA 136.6 -1.1 216.1 44.2
52 734 NA NA 120.6 -1.2 210.9 69.4
53 217 NA NA 25.4 -1.1 230 48.7
1 345 NA NA 167.2 -0.4 449.7 53.8
2 492 1018 70 168.1 -0.4 459.9 59.7
3 611 746 39 167.7 -0.5 430.3 64.4
4 267 1555 132 167.8 -0.6 391.4 50.7
5 177 2010 159 167.9 -0.6 371.7 47.1
6 35 995 69 168.5 -0.7 360.6 41.4
7 31 NA NA 136 0.1 605.4 41.2
8 16 987 46 168 -0.3 491.4 40.6
9 17 1123 72 167.9 0.2 627.7 40.7
10 15 995 52 168.4 0.7 801 40.6
11 2 NA NA 134.7 2.1 1239.7 40.1
12 8 NA NA 46.6 1.6 1079.6 40.3
13 11 NA NA 102.2 0.9 854.7 40.4
14 10 NA NA 172.8 0.6 754.6 40.4
15 39 NA NA 144.2 0.2 645.9 41.6
16 86 NA NA 168.4 1.5 1045.3 43.4
17 108 NA NA 167.5 0.9 863.1 44.3
18 136 NA NA 168.3 0.8 836.4 45.4
19 157 NA NA 167.7 0.9 863.7 46.3
20 103 NA NA 168.2 1.2 952.7 44.1
21 54 NA NA 167.5 1 876 42.2
22 19 NA NA 168.5 0.7 779.7 40.8
