"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.183 0.346 -3.855 -3.394 -3.182 -2.97 -2.496 1.001 3000
"trib_sd.P" 1.048 0.292 0.649 0.846 0.988 1.183 1.751 1.001 2400
"flow_mu.P" -0.36 0.216 -0.823 -0.482 -0.345 -0.229 0.043 1.002 1000
"flow_sd.P" 0.632 0.239 0.288 0.456 0.591 0.755 1.211 1.004 550
"pro_sd.P" 0.666 0.018 0.63 0.653 0.665 0.678 0.704 1.001 3000
"b0_pCap[1]" -3.008 0.063 -3.131 -3.052 -3.01 -2.966 -2.884 1.007 340
"b0_pCap[2]" -3.171 1.122 -5.286 -3.884 -3.193 -2.475 -0.96 1.001 3000
"b0_pCap[3]" -1.632 0.213 -2.057 -1.775 -1.633 -1.486 -1.209 1.001 3000
"b0_pCap[4]" -3.087 0.047 -3.178 -3.118 -3.087 -3.057 -2.996 1.004 650
"b0_pCap[5]" -2.345 0.057 -2.451 -2.384 -2.345 -2.306 -2.234 1.005 480
"b0_pCap[6]" -3.221 1.143 -5.469 -3.935 -3.209 -2.515 -0.97 1.001 2000
"b0_pCap[7]" -3.178 1.134 -5.406 -3.886 -3.178 -2.459 -0.936 1.002 1100
"b0_pCap[8]" -4.492 0.185 -4.859 -4.613 -4.491 -4.364 -4.137 1.002 1900
"b0_pCap[9]" -3.857 0.056 -3.965 -3.893 -3.857 -3.82 -3.746 1.001 3000
"b0_pCap[10]" -3.857 0.126 -4.098 -3.942 -3.859 -3.772 -3.602 1.001 3000
"b0_pCap[11]" -3.608 0.07 -3.75 -3.655 -3.609 -3.562 -3.469 1.009 240
"b0_pCap[12]" -1.927 0.065 -2.05 -1.971 -1.929 -1.884 -1.792 1.022 110
"b0_pCap[13]" -4.087 0.173 -4.437 -4.207 -4.077 -3.96 -3.779 1.01 230
"b0_pCap[14]" -3.196 1.138 -5.41 -3.891 -3.208 -2.529 -0.845 1.001 3000
"b0_pCap[15]" -3.202 1.129 -5.442 -3.894 -3.203 -2.492 -0.991 1.002 3000
"b0_pCap[16]" -3.174 1.156 -5.525 -3.875 -3.168 -2.453 -0.903 1.001 3000
"b_flow[1]" -0.096 0.065 -0.218 -0.14 -0.096 -0.052 0.03 1.003 700
"b_flow[2]" -0.36 0.718 -1.824 -0.774 -0.352 0.049 1.111 1.002 3000
"b_flow[3]" 0.201 0.233 -0.261 0.039 0.203 0.36 0.65 1.005 440
"b_flow[4]" -0.151 0.061 -0.27 -0.192 -0.152 -0.111 -0.03 1.001 2300
"b_flow[5]" -0.177 0.059 -0.29 -0.217 -0.178 -0.139 -0.06 1.003 950
"b_flow[6]" -0.346 0.711 -1.774 -0.728 -0.342 0.049 1.107 1.001 3000
"b_flow[7]" -0.388 0.72 -1.896 -0.77 -0.37 0.029 1.027 1.002 3000
"b_flow[8]" 0.138 0.185 -0.207 0.006 0.134 0.262 0.512 1.002 1900
"b_flow[9]" -0.308 0.062 -0.431 -0.35 -0.308 -0.268 -0.185 1.003 690
"b_flow[10]" -0.74 0.133 -0.999 -0.829 -0.739 -0.653 -0.48 1.005 490
"b_flow[11]" -0.202 0.096 -0.437 -0.254 -0.182 -0.134 -0.067 1.004 630
"b_flow[12]" -0.544 0.077 -0.702 -0.594 -0.542 -0.493 -0.397 1.004 730
"b_flow[13]" -1.745 0.523 -2.864 -2.075 -1.709 -1.381 -0.818 1.01 220
"b_flow[14]" -0.349 0.693 -1.832 -0.731 -0.349 0.052 1.024 1.001 3000
"b_flow[15]" -0.353 0.718 -1.849 -0.767 -0.341 0.073 1.103 1.001 2100
"b_flow[16]" -0.356 0.718 -1.799 -0.76 -0.342 0.047 1.144 1.001 3000
"pCap_U[1]" 0.014 0.012 0.003 0.007 0.011 0.018 0.043 1.001 3000
"pCap_U[2]" 0.006 0.006 0.001 0.002 0.004 0.007 0.021 1.008 280
"pCap_U[3]" 0.012 0.004 0.005 0.009 0.011 0.014 0.021 1.002 1100
"pCap_U[4]" 0.013 0.003 0.008 0.011 0.013 0.014 0.019 1.001 3000
"pCap_U[5]" 0.015 0.004 0.009 0.012 0.014 0.017 0.023 1.001 3000
"pCap_U[6]" 0.016 0.004 0.01 0.014 0.016 0.019 0.025 1.001 3000
"pCap_U[7]" 0.014 0.003 0.009 0.012 0.013 0.015 0.02 1.001 2700
"pCap_U[8]" 0.04 0.005 0.031 0.037 0.04 0.043 0.05 1.001 3000
"pCap_U[9]" 0.025 0.005 0.016 0.022 0.025 0.028 0.035 1.001 3000
"pCap_U[10]" 0.026 0.004 0.018 0.023 0.025 0.029 0.035 1.002 1400
"pCap_U[11]" 0.019 0.008 0.006 0.013 0.018 0.024 0.039 1.002 1100
"pCap_U[12]" 0.014 0.005 0.007 0.011 0.013 0.017 0.024 1.001 3000
"pCap_U[13]" 0.01 0.005 0.003 0.007 0.009 0.012 0.021 1.003 860
"pCap_U[14]" 0.005 0.005 0.001 0.002 0.004 0.007 0.02 1.003 780
"pCap_U[15]" 0.026 0.019 0.005 0.013 0.021 0.033 0.073 1.001 3000
"pCap_U[16]" 0.063 0.045 0.013 0.033 0.051 0.08 0.182 1.002 1100
"pCap_U[17]" 0.07 0.049 0.014 0.036 0.058 0.09 0.199 1.003 820
"pCap_U[18]" 0.067 0.048 0.013 0.034 0.055 0.085 0.197 1.001 3000
"pCap_U[19]" 0.124 0.089 0.023 0.061 0.101 0.161 0.367 1.003 720
"pCap_U[20]" 0.31 0.192 0.051 0.158 0.272 0.426 0.756 1.009 240
"pCap_U[21]" 0.289 0.188 0.045 0.142 0.248 0.4 0.744 1.004 660
"pCap_U[22]" 0.279 0.18 0.044 0.139 0.239 0.386 0.716 1.004 540
"N[1]" 184.05 161.195 16.827 82.242 143.3 236.35 588.911 1.02 340
"N[2]" 101.954 101.832 5.62 42.302 77.115 130.525 355.105 1.023 250
"N[3]" 91.254 72.061 13.805 48.025 75.03 113.3 267.002 1.004 3000
"N[4]" 76.599 58.874 11.108 39.702 63.69 94.83 218.702 1.008 3000
"N[5]" 45.753 34.792 2.588 21.167 39.29 61.687 131.4 1.038 94
"N[6]" 39.785 29.333 1.884 18.022 35.27 54.642 108.007 1.042 78
"N[7]" 78.933 59.761 17.039 41.827 61.845 95.96 241.73 1.015 200
"N[8]" 56.062 29.807 17.729 35.577 49.605 69.382 131.7 1.009 360
"N[9]" 37.216 23.853 5.737 21.467 32.59 47.527 95.935 1.015 400
"N[10]" 24.683 18.833 0.857 10.397 21.485 34.35 70.78 1.043 83
"N[11]" 23.611 18.741 0.65 9.787 20.185 32.532 68.42 1.067 57
"N[12]" 22.174 18.987 0.674 8.771 18.74 30.542 71.625 1.053 74
"N[13]" 20.248 20.545 0.481 7.394 15.925 26.722 67.135 1.057 64
"N[14]" 18.437 22.09 0.524 6.507 13.79 23.48 66.15 1.052 77
"N[15]" 21.536 24.542 2.398 9.141 15.31 25.332 80.326 1.011 1200
"N[16]" 39.752 53.962 6.734 14.277 23.705 43.332 170.474 1.023 110
"N[17]" 10.937 11.462 1.495 4.856 8.036 13.11 37.866 1.012 520
"N[18]" 5.132 5.736 0.113 1.86 3.945 6.745 16.649 1.06 57
"N[19]" 3.241 3.665 0.07 1.074 2.388 4.227 11.17 1.06 54
"N[20]" 1.709 1.824 0.033 0.491 1.162 2.316 6.327 1.059 55
"N[21]" 1.098 1.469 0.008 0.219 0.644 1.437 5.136 1.047 73
"N[22]" 0.434 1 0 0.024 0.12 0.423 2.714 1.021 220
"Ntot" 904.6 298.835 470.675 699.2 855.85 1056 1609.025 1.003 1000
"sd.N" 0.503 0.536 0.126 0.217 0.333 0.571 2.006 1.009 270
"sd.Ne" 0.802 0.595 0.139 0.318 0.646 1.141 2.259 1.076 31
"deviance" 6001.337 45.922 5914 5970 6000 6032.25 6093.025 1.002 1800
