Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 0 NA NA 167.7 -1 179.3 40
46 0 NA NA 171.9 -1 172 40
47 0 NA NA 162.9 -1 172.4 10
48 1 NA NA 171.3 -1 172.9 40
49 120 NA NA 170.9 -1 177.3 44.8
50 172 134 4 152.3 -1 167.7 46.9
51 72 NA NA 128.4 -1 173.4 42.9
52 15 NA NA 162.4 -1 164.4 40.6
53 79 NA NA 25.1 -1 164.1 43.2
1 389 NA NA 148.6 -0.1 533 55.6
2 319 NA NA 167.7 0.4 740 52.8
3 492 271 7 71.2 1.8 1278.6 59.7
4 199 NA NA 70.5 2.1 1383.9 48
5 9 NA NA 93 0.3 676.7 40.4
6 16 NA NA 168.4 -0.2 487.6 40.6
7 1 NA NA 167.2 0 560.9 40
8 2 NA NA 143 -0.3 461 40.1
9 2 NA NA 166.6 1.1 988.6 40.1
10 0 NA NA 47.4 2.9 1705.7 40
11 3 996 24 46.4 1.3 1063.7 40.1
12 1 NA NA 130 0.9 915.6 40
13 3 NA NA 169.5 0.1 602.4 40.1
14 6 NA NA 166 0 588.1 40.2
15 20 NA NA 168.2 0.2 649.3 40.8
16 10 NA NA 167.8 0.1 620.7 40.4
17 21 NA NA 169 -0.2 500.4 40.8
18 12 NA NA 170.1 -0.2 488.3 40.5
19 13 NA NA 165.4 -0.1 517.3 40.5
20 1 NA NA 168.4 -0.2 485.7 40
21 0 NA NA 167.2 -0.3 437.7 40
22 1 NA NA 164.1 -0.4 417.9 40
