Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -0.7 321 3
46 NA NA NA 0 -0.7 306.1 3
47 0 NA NA 94.6 -0.8 292.7 3
48 0 NA NA 24.2 -0.8 280.9 3
49 NA NA NA 0 -0.8 281.9 3
50 5 NA NA 147.4 -0.8 290.4 40.2
51 34 NA NA 166 -0.8 300.7 41.4
52 12 NA NA 169.1 -0.8 299 40.5
53 5 NA NA 22.1 -0.8 298.1 40.2
1 6 NA NA 169.7 -0.7 322.2 40.2
2 70 NA NA 163.4 0.1 536.4 42.8
3 27 333 11 172 0.2 552.7 41.1
4 1 NA NA 167.3 0.6 667.4 40
5 0 411 25 166.3 -0.2 437.9 40
6 1 NA NA 171.3 -0.3 408.6 40
7 1 299 11 168.3 -0.5 380.1 40
8 1 NA NA 165.1 -0.5 363.6 40
9 1 NA NA 118.2 -0.4 381.7 40
10 1 NA NA 147.7 -0.5 373.9 40
11 5 402 18 129.1 0.9 729 40.2
12 8 NA NA 115.8 3 1288.3 40.3
13 7 NA NA 122.9 0.6 664.7 40.3
14 4 499 21 118.2 3 1297.4 40.2
15 38 NA NA 96.7 1.4 874.9 41.5
16 18 NA NA 121.8 0.8 714 40.7
17 22 NA NA 119.2 0.3 574.4 40.9
18 37 NA NA 117.9 0 506.7 41.5
19 21 NA NA 120 -0.1 461.6 40.8
20 70 NA NA 117.8 -0.2 436.6 42.8
21 42 NA NA 74.9 -0.2 439.1 41.7
22 12 NA NA 75.9 -0.4 389.4 40.5
