"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.784 0.664 -3.773 -2.982 -2.792 -2.598 -1.737 1.021 3000
"trib_sd.P" 0.703 0.912 0.203 0.343 0.477 0.75 2.428 1.001 2100
"flow_mu.P" -0.138 0.098 -0.286 -0.172 -0.138 -0.104 0.012 1.033 1200
"flow_sd.P" 0.095 0.145 0.021 0.04 0.061 0.101 0.394 1.001 3000
"pro_sd.P" 0.54 0.021 0.5 0.525 0.539 0.554 0.583 1.001 3000
"b0_pCap[1]" -2.989 0.051 -3.091 -3.024 -2.989 -2.954 -2.89 1.003 730
"b0_pCap[2]" -3.072 0.041 -3.156 -3.099 -3.072 -3.045 -2.989 1.002 1600
"b0_pCap[3]" -2.346 0.047 -2.436 -2.378 -2.346 -2.314 -2.252 1.002 1200
"b0_pCap[4]" -2.765 1.445 -4.74 -3.15 -2.79 -2.389 -0.772 1.041 3000
"b0_pCap[5]" -2.765 1.172 -4.714 -3.19 -2.807 -2.397 -0.603 1.009 3000
"b0_pCap[6]" -2.789 1.387 -4.686 -3.173 -2.793 -2.423 -0.808 1.031 1100
"b0_pCap[7]" -2.81 1.231 -4.817 -3.173 -2.806 -2.418 -0.838 1.012 3000
"b0_pCap[8]" -2.796 1.31 -4.852 -3.155 -2.779 -2.41 -0.888 1.006 3000
"b_flow[1]" -0.112 0.049 -0.202 -0.146 -0.113 -0.08 -0.012 1.001 3000
"b_flow[2]" -0.144 0.044 -0.231 -0.174 -0.144 -0.115 -0.059 1.001 2300
"b_flow[3]" -0.156 0.043 -0.244 -0.185 -0.155 -0.127 -0.073 1.003 910
"b_flow[4]" -0.136 0.225 -0.415 -0.19 -0.134 -0.082 0.149 1.114 3000
"b_flow[5]" -0.136 0.188 -0.42 -0.192 -0.137 -0.085 0.139 1.043 3000
"b_flow[6]" -0.139 0.171 -0.426 -0.193 -0.141 -0.088 0.16 1.031 2200
