Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
1 1 158 8 119.3 -0.2 1032.1 5
2 7 1352 95 166.7 -0.2 1032.9 5
3 2 1525 129 168.9 -0.2 1032.9 5
4 0 2628 193 164.2 -0.2 1064.3 40
5 5 2415 163 167.2 -0.2 1062.9 40.2
6 4 1410 80 168.2 -0.2 1084.3 40.2
7 24 2043 148 165.6 -0.2 1065.7 41
8 27 1006 83 170.4 -0.2 1057.1 41.1
9 19 1277 72 166.8 -0.3 957.7 40.8
10 7 1231 77 171.4 -0.4 849.1 40.3
11 16 659 48 164.4 -0.4 861.1 40.6
12 4 948 44 169.3 -0.4 861.1 40.2
13 2 367 19 119.9 -0.4 852.1 40.1
14 0 NA NA 42.9 3.8 4271.1 40
15 1 NA NA 94.8 2.1 2845.7 40
16 0 NA NA 144.8 0 1167.1 40
17 1 NA NA 145.4 -0.3 937.4 40
18 0 NA NA 120.3 -0.4 880.4 40
19 0 NA NA 91.8 -0.4 883.4 40
20 0 NA NA 70.3 -0.4 892.6 40
21 0 NA NA 92.5 -0.4 869.4 40
22 0 NA NA 45.3 -0.3 947.7 40
