Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 0 NA NA 168.3 -1 235.6 2
46 0 NA NA 171.7 -1 227 2
47 1 NA NA 157.6 -1 223.7 40
48 0 NA NA 135.9 -1 230.4 40
49 0 NA NA 113.1 -1 222 40
50 25 NA NA 171.6 -1 223.4 41
51 3 NA NA 168.7 -1 234.4 40.1
52 0 NA NA 136.1 -0.9 242.6 40
53 0 NA NA 52.8 -1 236.1 40
1 0 105 4 167.1 0.4 519.1 40
2 0 221 6 168.4 -0.2 387.7 40
3 0 380 16 168.3 -0.6 316.7 40
4 0 791 17 144 0.6 565.7 40
5 0 861 25 167.1 -0.4 344.4 40
6 1 814 35 173 -0.6 319.6 40
7 0 848 65 163.9 0 431.9 40
8 0 839 69 168.7 -0.1 428.7 40
9 0 676 33 168.5 0.4 533.6 40
10 1 912 68 169 -0.1 424.6 40
11 4 318 21 166.2 -0.2 400.4 40.2
12 5 225 6 167 0.2 480.6 40.2
13 11 237 9 164.3 0.4 518.9 40.4
14 12 350 24 169.1 0.5 538.4 40.5
15 8 554 25 169.6 0.1 470.4 40.3
16 8 89 7 169.9 0.1 453.9 40.3
17 4 100 2 165.2 0.1 469.3 40.2
18 2 113 4 171.6 0.5 553.4 40.1
19 2 65 1 152.9 2.5 969.7 40.1
20 2 NA NA 95.6 3.2 1136.3 40.1
21 0 NA NA 166.4 1.4 740.3 40
22 0 NA NA 172.2 0.7 588 5
