"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.2 0.351 -3.922 -3.422 -3.196 -2.982 -2.48 1.001 3000
"trib_sd.P" 1.064 0.288 0.66 0.863 1.013 1.203 1.796 1.001 3000
"flow_mu.P" -0.365 0.23 -0.857 -0.496 -0.355 -0.223 0.08 1.003 1500
"flow_sd.P" 0.645 0.242 0.28 0.473 0.607 0.774 1.208 1.002 3000
"pro_sd.P" 0.665 0.018 0.63 0.653 0.665 0.677 0.7 1.001 3000
"b0_pCap[1]" -3.009 0.063 -3.134 -3.052 -3.008 -2.965 -2.887 1.001 3000
"b0_pCap[2]" -3.201 1.171 -5.482 -3.908 -3.206 -2.506 -0.842 1.001 3000
"b0_pCap[3]" -1.633 0.222 -2.081 -1.783 -1.634 -1.487 -1.204 1.006 460
"b0_pCap[4]" -3.089 0.049 -3.19 -3.123 -3.089 -3.054 -2.995 1.008 280
"b0_pCap[5]" -2.344 0.059 -2.462 -2.384 -2.345 -2.303 -2.236 1.004 820
"b0_pCap[6]" -3.224 1.143 -5.602 -3.935 -3.202 -2.497 -1.015 1.001 3000
"b0_pCap[7]" -3.227 1.16 -5.594 -3.951 -3.246 -2.49 -0.97 1.001 3000
"b0_pCap[8]" -4.516 0.185 -4.879 -4.637 -4.517 -4.391 -4.149 1.002 1900
"b0_pCap[9]" -3.858 0.053 -3.965 -3.892 -3.857 -3.822 -3.757 1.012 180
"b0_pCap[10]" -3.852 0.123 -4.093 -3.935 -3.852 -3.77 -3.607 1.005 470
"b0_pCap[11]" -3.613 0.063 -3.732 -3.656 -3.613 -3.57 -3.484 1.002 3000
"b0_pCap[12]" -1.918 0.07 -2.056 -1.966 -1.916 -1.87 -1.785 1.015 190
"b0_pCap[13]" -4.108 0.175 -4.466 -4.223 -4.103 -3.987 -3.781 1.006 2300
"b0_pCap[14]" -3.209 1.141 -5.488 -3.905 -3.198 -2.507 -0.932 1.001 3000
"b0_pCap[15]" -3.214 1.153 -5.536 -3.92 -3.213 -2.481 -0.961 1.001 3000
"b0_pCap[16]" -3.175 1.153 -5.542 -3.907 -3.19 -2.442 -0.905 1.001 3000
"b_flow[1]" -0.099 0.067 -0.228 -0.146 -0.098 -0.055 0.034 1.001 3000
"b_flow[2]" -0.37 0.733 -1.894 -0.788 -0.36 0.056 1.12 1.003 1100
"b_flow[3]" 0.23 0.238 -0.236 0.068 0.231 0.388 0.699 1.012 270
"b_flow[4]" -0.153 0.058 -0.274 -0.19 -0.152 -0.114 -0.046 1.001 3000
"b_flow[5]" -0.181 0.059 -0.296 -0.224 -0.182 -0.139 -0.07 1.011 210
"b_flow[6]" -0.364 0.727 -1.89 -0.773 -0.354 0.064 1.086 1.001 3000
"b_flow[7]" -0.376 0.716 -1.864 -0.796 -0.37 0.04 1.081 1.001 3000
"b_flow[8]" 0.133 0.182 -0.22 0.01 0.134 0.265 0.473 1.003 860
"b_flow[9]" -0.305 0.06 -0.423 -0.346 -0.305 -0.265 -0.188 1.001 3000
"b_flow[10]" -0.733 0.135 -0.997 -0.822 -0.731 -0.642 -0.483 1.001 3000
"b_flow[11]" -0.203 0.091 -0.419 -0.255 -0.188 -0.137 -0.07 1.002 3000
