Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 1.1 6563.3 2
46 NA NA NA 0 1.1 6560.6 40.3
47 NA NA NA 0 1.1 6537.1 40.3
48 0 NA NA 69.2 1.2 6710.9 40
49 0 NA NA 94.5 1.3 7074.7 40
50 0 NA NA 94.7 1.3 7072.5 40
51 0 NA NA 70 1.3 7003.6 40
52 0 NA NA 49.7 1.2 6948.6 40
53 NA NA NA 0 0.2 4243.3 40.3
1 0 NA NA 114.5 -0.7 1622.1 40
2 0 1542 45 170.5 -0.6 1881 40
3 0 830 39 165.7 -0.7 1835.5 40
4 2 859 22 168.7 -0.7 1857.5 40.1
5 3 1820 38 167.3 -0.7 1859.2 40.1
6 9 NA NA 144.2 -0.6 1881.3 40.4
7 24 1317 30 170.4 -0.7 1860.1 41
8 38 1011 21 165.1 -0.5 2274.1 41.5
9 17 2222 38 172 -0.6 2141.2 40.7
10 24 2158 34 165.3 -0.7 1857.8 41
11 7 621 4 121.5 -0.8 1524.6 40.3
12 26 1249 17 118.7 -1 1048 41
13 52 507 0 50.7 -0.1 3216.2 42.1
14 NA NA NA 0 2.7 10779.2 40.3
15 4 NA NA 71.9 1.1 6669.6 40.2
16 8 NA NA 167.7 -0.3 2833.1 40.3
17 6 28 0 118 -0.9 1173.9 40.2
18 7 NA NA 120.2 -1 1016.7 40.3
19 0 73 3 92.2 -1 1006.8 40
20 0 NA NA 74.4 -1 1017.8 40
21 0 NA NA 69.2 -0.6 2090.2 40
22 0 NA NA 44.9 -0.6 1958.9 40
