Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 1.5 7561.3 3
46 NA NA NA 0 1.4 7186.2 3
47 NA NA NA 0 1.3 7139.3 3
48 NA NA NA 0 1.5 7466.8 3
49 NA NA NA 0 1.7 8179.6 3
50 NA NA NA 0 1.8 8285.5 3
51 0 NA NA 281.3 1.7 8217.7 40
52 1 NA NA 258.8 1.5 7514 40
53 0 NA NA 24.3 1.4 7309 40
1 0 NA NA 245.4 -0.6 1892.7 40
2 0 NA NA 330.5 -0.6 1915.2 40
3 0 658 15 337.9 -0.6 1937.9 40
4 0 148 6 331.9 -0.6 1747.4 40
5 8 642 7 337.7 -0.6 1720.2 40.3
6 24 1890 75 333.9 -0.7 1639.2 41
7 7 3290 35 336.6 -0.7 1646 40.3
8 10 2472 26 343.2 -0.6 1815.9 40.4
9 14 2481 26 336 -0.5 2148.2 40.6
10 18 1219 56 330.6 -0.6 1945.5 40.7
11 11 590 6 333.4 -0.7 1627.8 40.4
12 7 1486 25 304.4 -0.7 1638.4 40.3
13 13 915 9 336.1 -0.7 1655.5 40.5
14 15 1037 5 335 -0.7 1672.5 40.6
15 4 416 13 336.4 -0.7 1626.6 40.2
16 4 555 2 334.9 -0.7 1464.2 40.2
17 4 786 9 339.7 -0.7 1541.9 40.2
18 3 868 12 335 -0.7 1564 40.1
19 0 901 5 326.9 -0.7 1547.8 40
20 0 NA NA 339.6 -0.5 2040.8 40
21 0 NA NA 235.8 -0.5 2116.8 40
22 0 NA NA 146.3 -0.4 2264 40
