Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -1.3 216.6 5
46 NA NA NA 0 -1.3 215 5
47 NA NA NA 0 -1.4 210.9 5
48 0 NA NA 115.9 -1.4 207.4 5
49 10 NA NA 168 -1.4 205.3 40.4
50 8 NA NA 169.9 -1.4 206 40.3
51 65 NA NA 166.8 -1.3 219.7 42.6
52 88 249 6 171.2 -1.1 240.6 43.5
53 506 NA NA 19.2 -1 248.3 60.2
1 758 254 4 82.3 0.9 474.3 70.3
2 821 1578 54 164.5 0.8 465.6 72.8
3 239 1245 49 168.3 -0.5 307.6 49.6
4 248 1033 26 147.1 2.2 626.4 49.9
5 83 1218 43 169.4 1.6 556.6 43.3
6 9 1205 30 167.2 0 368.4 40.4
7 5 1209 92 168.8 -0.4 323.6 40.2
8 15 1204 29 148.4 0.9 466.1 40.6
9 1 1221 35 164.4 0.7 453.9 40
10 1 981 21 167.7 0.1 375.4 40
11 3 1215 24 168.1 0.3 396.7 40.1
12 6 1392 48 175.9 0.3 399.6 40.2
13 2 754 27 159.8 0.3 402 40.1
14 3 607 20 167.9 0.1 375.9 40.1
15 12 309 33 169 0.1 382.3 40.5
16 19 NA NA 173.6 0.6 435.9 40.8
17 34 NA NA 161.6 0.1 378.9 41.4
18 12 NA NA 168.1 0.4 415.3 40.5
19 10 NA NA 167.7 0.7 452.4 40.4
20 11 NA NA 173.5 1.2 504 40.4
21 1 NA NA 167.6 1.1 494.4 40
22 1 NA NA 163.1 0 370.1 40
