"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.803 0.601 -3.807 -2.986 -2.803 -2.616 -1.795 1.04 1100
"trib_sd.P" 0.695 0.831 0.207 0.335 0.478 0.739 2.726 1.002 2800
"flow_mu.P" -0.14 0.079 -0.286 -0.172 -0.14 -0.106 0.005 1.004 1900
"flow_sd.P" 0.09 0.11 0.022 0.04 0.061 0.101 0.347 1.001 3000
"pro_sd.P" 0.539 0.021 0.498 0.525 0.539 0.553 0.581 1.001 3000
"b0_pCap[1]" -2.989 0.054 -3.098 -3.025 -2.988 -2.953 -2.884 1.004 590
"b0_pCap[2]" -3.073 0.04 -3.149 -3.1 -3.073 -3.046 -2.994 1.001 3000
"b0_pCap[3]" -2.349 0.049 -2.443 -2.382 -2.349 -2.316 -2.25 1.003 820
"b0_pCap[4]" -2.812 1.425 -4.906 -3.195 -2.815 -2.453 -0.845 1.044 3000
"b0_pCap[5]" -2.822 1.073 -4.822 -3.189 -2.809 -2.44 -0.809 1.027 680
"b0_pCap[6]" -2.838 1.356 -4.885 -3.175 -2.794 -2.423 -0.814 1.058 2100
"b0_pCap[7]" -2.806 1.407 -4.743 -3.171 -2.804 -2.434 -0.948 1.026 1400
"b0_pCap[8]" -2.822 1.221 -4.81 -3.166 -2.812 -2.451 -0.834 1.043 920
"b_flow[1]" -0.115 0.047 -0.202 -0.146 -0.115 -0.084 -0.021 1.001 3000
"b_flow[2]" -0.144 0.045 -0.231 -0.174 -0.144 -0.114 -0.057 1.004 650
"b_flow[3]" -0.156 0.044 -0.244 -0.185 -0.156 -0.126 -0.07 1.001 2700
"b_flow[4]" -0.142 0.149 -0.413 -0.192 -0.141 -0.09 0.12 1.006 3000
"b_flow[5]" -0.139 0.16 -0.434 -0.188 -0.137 -0.086 0.123 1.014 3000
"b_flow[6]" -0.141 0.154 -0.429 -0.195 -0.141 -0.088 0.132 1.007 3000
"b_flow[7]" -0.14 0.198 -0.435 -0.189 -0.138 -0.084 0.149 1.037 3000
"b_flow[8]" -0.143 0.188 -0.425 -0.191 -0.139 -0.086 0.128 1.025 3000
"pCap_U[1]" 0.06 0.033 0.019 0.037 0.053 0.076 0.142 1.001 3000
"pCap_U[2]" 0.06 0.032 0.02 0.038 0.053 0.076 0.142 1.001 3000
"pCap_U[3]" 0.06 0.03 0.019 0.038 0.054 0.076 0.136 1.001 3000
"pCap_U[4]" 0.059 0.031 0.018 0.037 0.053 0.074 0.141 1.001 3000
"pCap_U[5]" 0.061 0.032 0.019 0.038 0.054 0.075 0.143 1.001 3000
"pCap_U[6]" 0.037 0.013 0.017 0.029 0.036 0.045 0.067 1.001 3000
"pCap_U[7]" 0.061 0.032 0.019 0.039 0.054 0.075 0.142 1.001 2300
"pCap_U[8]" 0.06 0.032 0.018 0.038 0.054 0.075 0.141 1.002 1400
"pCap_U[9]" 0.059 0.03 0.019 0.038 0.053 0.074 0.137 1.003 820
"pCap_U[10]" 0.055 0.031 0.017 0.034 0.048 0.067 0.136 1.001 3000
"pCap_U[11]" 0.052 0.028 0.016 0.032 0.046 0.064 0.122 1.001 3000
"pCap_U[12]" 0.03 0.009 0.016 0.024 0.029 0.036 0.051 1.001 3000
"pCap_U[13]" 0.043 0.024 0.013 0.026 0.037 0.054 0.102 1.001 3000
"pCap_U[14]" 0.053 0.029 0.016 0.033 0.047 0.067 0.127 1.001 3000
"pCap_U[15]" 0.054 0.028 0.018 0.034 0.048 0.068 0.125 1.002 1900
"pCap_U[16]" 0.055 0.028 0.017 0.035 0.049 0.069 0.123 1.001 3000
"pCap_U[17]" 0.057 0.031 0.018 0.035 0.05 0.072 0.134 1.001 3000
"pCap_U[18]" 0.048 0.026 0.014 0.03 0.043 0.061 0.116 1.001 3000
"pCap_U[19]" 0.04 0.023 0.012 0.024 0.034 0.05 0.098 1.001 3000
"pCap_U[20]" 0.024 0.005 0.016 0.021 0.024 0.027 0.034 1.002 1000
"pCap_U[21]" 0.05 0.028 0.016 0.03 0.044 0.063 0.123 1.001 3000
"pCap_U[22]" 0.054 0.029 0.018 0.034 0.048 0.067 0.134 1.001 3000
"pCap_U[23]" 0.054 0.028 0.017 0.034 0.048 0.067 0.129 1.001 3000
"pCap_U[24]" 0.053 0.029 0.017 0.033 0.047 0.067 0.127 1.001 2600
"pCap_U[25]" 0.053 0.029 0.017 0.033 0.047 0.066 0.122 1.002 1300
"pCap_U[26]" 0.055 0.029 0.018 0.034 0.048 0.069 0.13 1.001 3000
"pCap_U[27]" 0.056 0.03 0.017 0.035 0.049 0.069 0.136 1.002 2000
"pCap_U[28]" 0.055 0.028 0.017 0.034 0.049 0.069 0.126 1.001 3000
"pCap_U[29]" 0.055 0.029 0.017 0.035 0.049 0.069 0.126 1.001 3000
"pCap_U[30]" 0.056 0.03 0.017 0.035 0.05 0.07 0.131 1.001 2000
"pCap_U[31]" 0.057 0.03 0.018 0.036 0.05 0.07 0.129 1.001 3000
"N[1]" 14.575 20.897 0.179 2.718 7.587 17.965 73.06 1.001 2900
"N[2]" 13.094 19.315 0.152 2.394 6.823 16.342 63.72 1.002 1700
"N[3]" 13.921 19.845 0.146 2.504 7.294 16.727 69.076 1.001 2800
"N[4]" 31.258 34.033 1.925 9.803 20.87 40.6 120.415 1.001 2000
