"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"N[16]" 149.844 39.146 85.381 121.975 145.8 173.05 237.625 1.003 740
"N[17]" 75.765 24.534 35.326 58.7 73.06 89.347 132.707 1.001 3000
"N[18]" 221.339 60.235 123.2 181 214.3 256.3 358.5 1.001 3000
"N[19]" 214.733 64.568 114.595 170.875 206.5 249.25 366.907 1.003 770
"N[20]" 403.956 167.167 155.597 295.075 378.1 478.975 800.72 1.001 3000
"N[21]" 251.844 81.438 121.89 196.675 241.4 295.025 446.21 1.002 1900
"N[22]" 117.718 34.087 62.946 93.11 113.7 136.7 194.635 1.001 3000
"N[23]" 106.025 35.123 50.879 80.707 102 126.1 187.45 1.001 3000
"N[24]" 38.523 18.033 12.419 25.39 35.45 47.942 80.774 1.001 3000
"N[25]" 76.759 28.119 32.818 56.297 72.7 92.85 141.702 1.001 3000
"N[26]" 45.632 20.664 17.29 31.27 41.785 54.89 97.074 1.001 3000
"N[27]" 106.311 50.818 33.999 71.43 97.215 130 226.51 1.001 3000
"N[28]" 46.248 18.671 18.439 33.41 43.55 56.3 90.264 1.001 3000
"N[29]" 206.852 165.834 32.636 104.375 166.95 255.9 642.195 1.002 1200
"N[30]" 63.622 50.512 11.159 31.25 49.3 79.677 200.71 1.001 2800
"N[31]" 5.491 8.39 0.049 0.902 2.683 6.759 27.128 1.001 3000
"Ntot" 44280.08 10629.383 28977.997 37010 42460 49372.5 70440.75 1.001 3000
"sd.N" 0.592 0.547 0.153 0.297 0.446 0.674 2.107 1.003 770
"sd.Ne" 1.58 0.299 1.058 1.373 1.553 1.758 2.235 1.004 610
"deviance" 3828.931 640.162 3199 3400.75 3639 4053.25 5565.649 1.001 2500
