Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -0.8 137 5
46 NA NA NA 0 -0.8 144.7 5
47 2 NA NA 66.9 -0.8 144.7 40.1
48 41 NA NA 122.5 -0.7 157.6 41.6
49 20 NA NA 118.2 -0.7 177.4 40.8
50 1 NA NA 117.5 -0.7 179.6 40
51 0 NA NA 97.1 -0.6 208.4 40
52 0 NA NA 69.2 -0.6 208.3 40
53 0 NA NA 22.1 -0.6 207.7 40
1 0 NA NA 96.1 -0.4 273.4 40
2 3 NA NA 131 -0.2 325.7 40.1
3 0 NA NA 61.9 0.5 567.7 40
4 0 NA NA 116.8 -0.2 342 40
5 0 600 13 116 0 387.9 40
6 0 832 16 122.3 0 393 40
7 0 NA NA 43.6 0.5 566.9 40
8 0 806 25 94.9 -0.2 351.6 40
9 0 NA NA 168 4.7 1953.4 40
10 0 NA NA 21.6 1 724.3 40
11 0 NA NA 114.9 0.1 425.3 40
12 0 NA NA 97 0.2 454.3 40
13 2 NA NA 70.4 0.8 656 40.1
14 0 NA NA 69.9 0.8 667.6 40
15 3 NA NA 144.3 0.3 507.4 40.1
16 1 NA NA 169.6 -0.1 373.7 40
17 2 NA NA 167.2 -0.2 323.6 40.1
18 2 NA NA 168 -0.3 297.7 40.1
19 0 NA NA 120.2 -0.1 372 40
20 0 NA NA 168.5 -0.1 370.6 40
21 0 NA NA 168.4 -0.2 326.3 40
22 0 NA NA 168 -0.4 262.4 40
