"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"N[17]" 28.146 34.183 0.66 6.508 17 37.28 125.707 1.001 2100
"N[18]" 255.194 122.827 84.325 170.3 234.6 316.95 528.44 1.002 1500
"N[19]" 115.769 92.077 15.329 54.312 91.765 147.875 360.412 1.003 920
"N[20]" 41.044 42.124 3.065 13.97 28.41 53.65 157.602 1.001 2300
"N[21]" 1839.947 1163.747 367.355 1105.75 1606 2253 4993.623 1.001 3000
"N[22]" 146.528 48.376 71.572 112.7 141.2 174.025 257.307 1.001 3000
"N[23]" 39.085 22.282 9.571 23.075 34.38 49.925 92.083 1.001 2400
"N[24]" 73.465 29.303 28.378 52.24 69.56 89.427 140.21 1.001 2600
"N[25]" 8.201 10.633 0.148 1.667 4.721 10.735 35.321 1.003 1400
"N[26]" 6.908 9.622 0.104 1.292 3.591 8.943 30.987 1.005 530
"N[27]" 37.573 29.794 4.95 16.575 29.67 49.77 121.81 1.001 2600
"N[28]" 7.597 12.369 0.07 0.958 3.133 8.882 40.444 1.003 670
"N[29]" 6.533 11.887 0.032 0.751 2.448 7.046 37.258 1.003 880
"N[30]" 4.435 8.252 0.015 0.372 1.406 4.553 27.88 1.006 420
"N[31]" 2.65 6.473 0.001 0.087 0.493 2.217 20.511 1.014 360
"Ntot" 15189.182 4136.919 9585.525 12450 14450 16900 25500.75 1.001 3000
"sd.N" 0.359 0.256 0.12 0.203 0.287 0.423 1.033 1.007 640
"sd.Ne" 1.861 0.339 1.315 1.618 1.825 2.055 2.655 1.002 2000
"deviance" 3191.132 131.04 3053 3112 3156 3229 3554 1.002 1300
