"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.186 0.351 -3.893 -3.397 -3.184 -2.978 -2.472 1.002 1300
"trib_sd.P" 1.063 0.305 0.648 0.856 1.003 1.199 1.849 1.001 3000
"flow_mu.P" -0.365 0.22 -0.824 -0.487 -0.357 -0.227 0.049 1.002 1400
"flow_sd.P" 0.634 0.227 0.29 0.471 0.601 0.759 1.17 1.002 1300
"pro_sd.P" 0.665 0.018 0.631 0.653 0.664 0.678 0.701 1.003 920
"b0_pCap[1]" -3.009 0.064 -3.135 -3.053 -3.009 -2.964 -2.887 1.002 1400
"b0_pCap[2]" -3.172 1.167 -5.504 -3.894 -3.165 -2.465 -0.776 1.002 1200
"b0_pCap[3]" -1.633 0.207 -2.041 -1.776 -1.628 -1.489 -1.244 1.006 400
"b0_pCap[4]" -3.089 0.048 -3.183 -3.121 -3.09 -3.057 -2.996 1.005 3000
"b0_pCap[5]" -2.352 0.055 -2.457 -2.389 -2.353 -2.314 -2.242 1.004 600
"b0_pCap[6]" -3.173 1.147 -5.369 -3.882 -3.199 -2.474 -0.834 1.001 3000
"b0_pCap[7]" -3.162 1.165 -5.49 -3.86 -3.152 -2.458 -0.809 1.003 2000
"b0_pCap[8]" -4.515 0.194 -4.9 -4.647 -4.514 -4.383 -4.134 1.002 1800
"b0_pCap[9]" -3.857 0.052 -3.961 -3.892 -3.857 -3.822 -3.755 1.003 880
"b0_pCap[10]" -3.855 0.123 -4.101 -3.936 -3.854 -3.776 -3.611 1.008 300
"b0_pCap[11]" -3.61 0.068 -3.743 -3.655 -3.61 -3.565 -3.473 1.013 210
"b0_pCap[12]" -1.917 0.065 -2.051 -1.961 -1.914 -1.871 -1.798 1.043 57
"b0_pCap[13]" -4.097 0.166 -4.412 -4.21 -4.1 -3.982 -3.763 1.009 380
"b0_pCap[14]" -3.222 1.138 -5.556 -3.923 -3.237 -2.506 -0.962 1.002 1400
"b0_pCap[15]" -3.18 1.177 -5.48 -3.909 -3.191 -2.468 -0.861 1.002 1300
"b0_pCap[16]" -3.175 1.145 -5.392 -3.891 -3.163 -2.45 -0.943 1.002 2100
"b_flow[1]" -0.095 0.067 -0.231 -0.139 -0.093 -0.051 0.034 1.001 2900
"b_flow[2]" -0.367 0.702 -1.875 -0.75 -0.362 0.052 1.033 1.001 2600
"b_flow[3]" 0.217 0.235 -0.231 0.056 0.21 0.378 0.679 1.004 530
"b_flow[4]" -0.152 0.06 -0.273 -0.191 -0.151 -0.112 -0.04 1.003 950
"b_flow[5]" -0.175 0.059 -0.288 -0.215 -0.174 -0.134 -0.06 1.007 310
"b_flow[6]" -0.366 0.714 -1.81 -0.78 -0.369 0.071 1.065 1.001 3000
"b_flow[7]" -0.375 0.708 -1.815 -0.791 -0.367 0.065 1.023 1.001 3000
"b_flow[8]" 0.125 0.186 -0.228 -0.001 0.127 0.251 0.497 1.003 740
"b_flow[9]" -0.309 0.06 -0.428 -0.349 -0.308 -0.268 -0.194 1.001 3000
"b_flow[10]" -0.739 0.139 -1.002 -0.834 -0.737 -0.647 -0.472 1.002 1100
"b_flow[11]" -0.207 0.096 -0.436 -0.258 -0.19 -0.138 -0.069 1.008 370
"b_flow[12]" -0.544 0.077 -0.693 -0.599 -0.544 -0.491 -0.394 1.002 1100
"b_flow[13]" -1.774 0.49 -2.776 -2.086 -1.769 -1.432 -0.882 1.002 1100
"b_flow[14]" -0.362 0.695 -1.814 -0.775 -0.354 0.058 1.008 1.001 3000
"b_flow[15]" -0.37 0.717 -1.905 -0.768 -0.359 0.034 1.1 1.002 3000
"b_flow[16]" -0.382 0.718 -1.899 -0.797 -0.358 0.057 0.954 1.001 3000
"pCap_U[1]" 0.05 0.036 0.011 0.025 0.041 0.064 0.142 1.001 3000
"pCap_U[2]" 0.104 0.063 0.027 0.058 0.088 0.134 0.259 1.002 1800
"pCap_U[3]" 0.13 0.075 0.032 0.076 0.113 0.168 0.317 1.001 3000
"pCap_U[4]" 0.031 0.024 0.006 0.015 0.024 0.04 0.095 1.002 1900
"pCap_U[5]" 0.105 0.066 0.027 0.059 0.09 0.133 0.276 1.002 1100
"pCap_U[6]" 0.178 0.012 0.156 0.17 0.178 0.186 0.201 1.001 3000
"pCap_U[7]" 0.21 0.012 0.186 0.202 0.21 0.218 0.234 1.001 2200
"pCap_U[8]" 0.062 0.043 0.014 0.033 0.051 0.078 0.175 1.001 3000
"pCap_U[9]" 0.255 0.014 0.229 0.246 0.255 0.265 0.282 1.001 3000
"pCap_U[10]" 0.199 0.012 0.175 0.191 0.199 0.208 0.223 1.001 3000
"pCap_U[11]" 0.221 0.013 0.196 0.212 0.221 0.23 0.247 1.001 3000
