Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 0 NA NA 167.8 -1.4 80.9 5
46 1 NA NA 167.4 -1.4 80.8 40
47 20 NA NA 167.9 -1.4 80.4 40.8
48 198 NA NA 168.2 -1.4 75.9 47.9
49 353 NA NA 176.1 -1.4 75.5 54.1
50 466 NA NA 164.3 -1.3 93.6 58.6
51 688 NA NA 167.8 -0.9 144.4 67.5
52 670 NA NA 143.3 -0.5 198.6 66.8
53 360 NA NA 47.3 -0.4 216.7 54.4
1 68 677 15 168.7 0.2 293.9 42.7
2 22 814 28 167.7 0.2 300.6 40.9
3 4 453 27 168.1 -0.1 251.1 40.2
4 146 799 22 168 0.4 321.4 45.8
5 86 870 37 168.5 0 270.3 43.4
6 4 863 43 168.1 -0.1 247.4 40.2
7 17 760 90 167.5 0 262.9 40.7
8 9 805 104 169.7 0.2 299.1 40.4
9 18 806 67 167 0.6 350.7 40.7
10 19 441 40 166.8 0 265.3 40.8
11 38 97 10 170.3 0.1 274.9 41.5
12 19 398 33 112.6 3.1 685 40.8
13 14 613 75 168.5 0.7 360.6 40.6
14 11 598 64 166.1 0.5 335.4 40.4
15 4 469 56 172 0.2 299 40.2
16 9 373 46 164.3 0 269 40.4
17 8 62 15 149 -0.1 258.9 40.3
18 9 116 10 162.7 0.5 337.3 40.4
19 8 107 23 142.7 1.1 415 40.3
20 12 NA NA 156.8 2.2 570 40.5
21 5 NA NA 165.1 0.3 305.6 40.2
22 0 NA NA 168.5 0 261.7 40
