Jwk u Releases Recaptures Effort Std_Flow Flow N_max_000s
45 NA NA NA 0 -1.6 83.9 5
46 NA NA NA 0 -1.6 81.9 5
47 NA NA NA 0 -1.6 81.3 5
48 17 NA NA 45.5 -1.6 81.2 40.7
49 76 NA NA 120.1 -1.6 82.3 43
50 256 NA NA 142.1 -1.5 89.5 50.2
51 16 NA NA 144.2 -1.4 101.1 40.6
52 56 NA NA 96.3 -1.2 114 42.2
53 0 NA NA 24.5 -0.1 193 40
1 1 NA NA 167.2 0.4 234.5 40
2 1 340 14 168.4 0.2 217.9 40
3 0 NA NA 167.5 0.2 215 40
4 1 401 30 169 0.2 215.7 40
5 0 399 19 169.5 0.2 215 40
6 1 778 25 175.8 1.6 322.7 40
7 0 389 3 168.6 0.7 257 40
8 0 832 27 167.7 1.9 339.3 40
9 0 405 12 168.7 1.3 299.3 40
10 0 398 4 167.8 0.7 250 40
11 0 398 9 168.2 0.5 235 40
12 0 410 8 168.1 0.4 228.9 40
13 0 396 15 168.1 0.3 226.3 40
14 0 413 6 168.3 0.4 231 40
15 0 396 10 167.5 0.5 238.9 40
16 0 397 8 168.9 0.7 250.6 40
17 0 415 17 168.4 0.5 241.9 40
18 0 343 5 166.7 0.4 232 40
19 0 NA NA 168.1 0.4 228 40
20 0 302 13 168.2 0.3 227.1 40
21 0 NA NA 167.6 0.3 223.7 40
22 0 NA NA 169.1 0.2 213.6 40
