"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -3.196 0.357 -3.912 -3.414 -3.203 -2.978 -2.507 1.001 2400
"trib_sd.P" 1.073 0.304 0.66 0.858 1.016 1.226 1.799 1.001 3000
"flow_mu.P" -0.366 0.219 -0.838 -0.489 -0.358 -0.229 0.05 1.006 1600
"flow_sd.P" 0.635 0.247 0.273 0.461 0.596 0.758 1.206 1.016 130
"pro_sd.P" 0.666 0.018 0.632 0.654 0.666 0.678 0.702 1.003 800
"b0_pCap[1]" -3.013 0.063 -3.138 -3.054 -3.012 -2.971 -2.891 1.013 170
"b0_pCap[2]" -3.179 1.162 -5.508 -3.888 -3.191 -2.447 -0.852 1.001 3000
"b0_pCap[3]" -1.62 0.221 -2.068 -1.769 -1.619 -1.47 -1.185 1.012 290
"b0_pCap[4]" -3.094 0.047 -3.184 -3.126 -3.094 -3.061 -3 1.001 3000
"b0_pCap[5]" -2.342 0.058 -2.457 -2.381 -2.343 -2.304 -2.228 1.007 1400
"b0_pCap[6]" -3.182 1.193 -5.471 -3.937 -3.176 -2.466 -0.746 1.001 3000
"b0_pCap[7]" -3.195 1.194 -5.505 -3.935 -3.192 -2.486 -0.8 1.001 3000
"b0_pCap[8]" -4.521 0.189 -4.892 -4.647 -4.523 -4.396 -4.147 1.001 3000
"b0_pCap[9]" -3.859 0.055 -3.963 -3.897 -3.86 -3.821 -3.753 1.001 3000
"b0_pCap[10]" -3.844 0.126 -4.087 -3.929 -3.844 -3.761 -3.585 1.002 1100
"b0_pCap[11]" -3.602 0.071 -3.739 -3.652 -3.601 -3.552 -3.471 1.007 310
"b0_pCap[12]" -1.925 0.061 -2.043 -1.963 -1.926 -1.887 -1.803 1.018 120
"b0_pCap[13]" -4.09 0.18 -4.465 -4.205 -4.085 -3.964 -3.752 1.021 110
"b0_pCap[14]" -3.151 1.201 -5.483 -3.87 -3.149 -2.457 -0.757 1.002 1400
"b0_pCap[15]" -3.194 1.182 -5.514 -3.909 -3.203 -2.487 -0.816 1.004 630
"b0_pCap[16]" -3.148 1.163 -5.41 -3.92 -3.164 -2.415 -0.821 1.002 1900
"b_flow[1]" -0.099 0.064 -0.227 -0.142 -0.096 -0.055 0.022 1.007 350
"b_flow[2]" -0.361 0.74 -1.957 -0.749 -0.341 0.074 1.098 1.002 3000
"b_flow[3]" 0.213 0.229 -0.24 0.053 0.215 0.374 0.655 1.009 270
"b_flow[4]" -0.153 0.058 -0.266 -0.192 -0.152 -0.114 -0.042 1.006 390
"b_flow[5]" -0.174 0.058 -0.285 -0.214 -0.174 -0.136 -0.053 1.001 2600
"b_flow[6]" -0.363 0.721 -1.888 -0.757 -0.36 0.066 1.072 1.002 2300
"b_flow[7]" -0.347 0.713 -1.901 -0.755 -0.327 0.069 1.108 1.001 3000
"b_flow[8]" 0.135 0.187 -0.214 0.008 0.129 0.255 0.527 1.009 240
"b_flow[9]" -0.308 0.062 -0.428 -0.349 -0.307 -0.265 -0.19 1.001 3000
"b_flow[10]" -0.735 0.134 -0.997 -0.823 -0.735 -0.641 -0.479 1.001 3000
"b_flow[11]" -0.204 0.094 -0.428 -0.257 -0.186 -0.134 -0.07 1.001 2100
"b_flow[12]" -0.542 0.078 -0.704 -0.59 -0.542 -0.492 -0.378 1.005 410
"b_flow[13]" -1.746 0.547 -2.939 -2.092 -1.733 -1.364 -0.78 1.025 94
"b_flow[14]" -0.372 0.711 -1.859 -0.772 -0.363 0.043 1.021 1.003 3000
"b_flow[15]" -0.363 0.692 -1.79 -0.753 -0.345 0.043 0.919 1.002 2900
"b_flow[16]" -0.352 0.715 -1.814 -0.762 -0.342 0.069 1.083 1.003 3000
"pCap_U[1]" 0.057 0.006 0.047 0.053 0.057 0.061 0.069 1.002 2900
"pCap_U[2]" 0.036 0.005 0.028 0.033 0.036 0.039 0.046 1.001 3000
"pCap_U[3]" 0.029 0.003 0.023 0.026 0.028 0.031 0.035 1.001 3000
"pCap_U[4]" 0.024 0.003 0.019 0.022 0.024 0.026 0.031 1.001 3000
"pCap_U[5]" 0.02 0.003 0.015 0.018 0.02 0.022 0.026 1.001 3000
"pCap_U[6]" 0.026 0.003 0.02 0.023 0.026 0.028 0.032 1.001 3000
"pCap_U[7]" 0.021 0.004 0.014 0.018 0.021 0.024 0.03 1.001 3000
"pCap_U[8]" 0.028 0.005 0.02 0.025 0.028 0.031 0.038 1.001 3000
"pCap_U[9]" 0.051 0.007 0.039 0.047 0.051 0.055 0.065 1.001 3000
"pCap_U[10]" 0.036 0.006 0.025 0.032 0.035 0.04 0.048 1.001 2300
"pCap_U[11]" 0.013 0.004 0.006 0.01 0.012 0.016 0.023 1.001 3000
"pCap_U[12]" 0.022 0.006 0.012 0.018 0.022 0.026 0.035 1.003 830
"pCap_U[13]" 0.015 0.005 0.007 0.011 0.014 0.017 0.025 1.001 3000
"pCap_U[14]" 0.013 0.007 0.004 0.008 0.012 0.016 0.03 1.001 3000
"pCap_U[15]" 0.028 0.02 0.006 0.015 0.023 0.035 0.082 1.001 3000
"pCap_U[16]" 0.03 0.021 0.007 0.016 0.025 0.038 0.088 1.001 3000
"pCap_U[17]" 0.038 0.026 0.008 0.02 0.031 0.048 0.104 1.001 3000
"pCap_U[18]" 0.021 0.015 0.005 0.011 0.017 0.027 0.063 1.001 3000
"pCap_U[19]" 0.012 0.01 0.003 0.006 0.01 0.015 0.037 1.002 1300
"pCap_U[20]" 0.03 0.02 0.007 0.016 0.025 0.038 0.088 1.001 2600
"pCap_U[21]" 0.034 0.024 0.008 0.018 0.027 0.042 0.096 1.001 3000
"pCap_U[22]" 0.035 0.024 0.008 0.018 0.029 0.043 0.1 1.001 3000
"N[1]" 45.388 27.333 9.372 25.217 39.94 58.822 113.317 1.001 3000
"N[2]" 172.549 70.828 66.169 122.375 161.65 212.8 340.41 1.001 3000
"N[3]" 123.438 59.785 36.994 79.057 113.2 157 263.12 1.001 3000
"N[4]" 388.428 137.75 168.295 290.4 371.45 463.375 703.302 1.001 3000
"N[5]" 93.006 57.285 16.494 51.472 82.305 121.325 234.817 1.001 3000
"N[6]" 264.614 100.868 109.895 190.7 250.8 322.3 492.105 1.001 2300
"N[7]" 539.907 212.986 229.39 389.825 507.6 652.7 1043.075 1.001 3000
"N[8]" 129.868 66.705 36.687 80.84 118.4 165.7 292.937 1 3000
