"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.804 0.595 -3.797 -2.993 -2.802 -2.621 -1.838 1.011 2400
"trib_sd.P" 0.704 0.96 0.198 0.337 0.474 0.728 2.571 1.002 3000
"flow_mu.P" -0.139 0.118 -0.292 -0.172 -0.139 -0.105 -0.002 1.097 3000
"flow_sd.P" 0.092 0.12 0.021 0.041 0.062 0.101 0.349 1.001 2800
"pro_sd.P" 0.54 0.021 0.499 0.525 0.539 0.554 0.583 1.002 3000
"b0_pCap[1]" -2.989 0.053 -3.092 -3.025 -2.988 -2.952 -2.886 1.002 3000
"b0_pCap[2]" -3.073 0.04 -3.151 -3.1 -3.073 -3.045 -2.992 1.001 3000
"b0_pCap[3]" -2.352 0.048 -2.446 -2.384 -2.353 -2.319 -2.256 1.003 1200
"b0_pCap[4]" -2.815 1.068 -4.734 -3.191 -2.812 -2.435 -0.708 1.01 1000
"b0_pCap[5]" -2.818 1.218 -4.715 -3.214 -2.839 -2.453 -0.812 1.002 3000
"b0_pCap[6]" -2.823 1.403 -4.948 -3.169 -2.809 -2.437 -0.653 1.053 2800
"b0_pCap[7]" -2.827 1.43 -4.909 -3.17 -2.815 -2.465 -0.965 1.039 2200
"b0_pCap[8]" -2.779 1.2 -4.748 -3.179 -2.796 -2.414 -0.825 1.005 3000
"b_flow[1]" -0.113 0.048 -0.204 -0.146 -0.114 -0.081 -0.017 1.002 1400
"b_flow[2]" -0.143 0.044 -0.23 -0.173 -0.143 -0.113 -0.056 1.001 3000
"b_flow[3]" -0.155 0.045 -0.248 -0.184 -0.155 -0.125 -0.069 1.001 2000
"b_flow[4]" -0.141 0.177 -0.451 -0.19 -0.139 -0.087 0.11 1.025 3000
"b_flow[5]" -0.138 0.193 -0.422 -0.189 -0.138 -0.083 0.117 1.007 3000
"b_flow[6]" -0.141 0.153 -0.424 -0.193 -0.141 -0.088 0.128 1.01 3000
"b_flow[7]" -0.141 0.17 -0.417 -0.194 -0.14 -0.087 0.131 1.006 3000
"b_flow[8]" -0.14 0.159 -0.403 -0.194 -0.14 -0.086 0.115 1.008 1600
"pCap_U[1]" 0.058 0.031 0.019 0.037 0.052 0.073 0.137 1.002 1600
"pCap_U[2]" 0.059 0.032 0.019 0.036 0.052 0.074 0.141 1.001 3000
"pCap_U[3]" 0.06 0.031 0.019 0.037 0.053 0.074 0.136 1.003 710
