"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"trib_mu.P" -2.825 0.81 -3.815 -3.003 -2.812 -2.613 -1.812 1.021 3000
"trib_sd.P" 0.683 1.004 0.199 0.33 0.473 0.73 2.364 1.001 3000
"flow_mu.P" -0.144 0.136 -0.293 -0.174 -0.14 -0.103 -0.008 1.049 3000
"flow_sd.P" 0.095 0.203 0.022 0.041 0.061 0.102 0.33 1.001 3000
"pro_sd.P" 0.539 0.022 0.498 0.524 0.539 0.553 0.584 1.001 2100
"b0_pCap[1]" -2.986 0.052 -3.086 -3.021 -2.986 -2.95 -2.883 1.002 2400
"b0_pCap[2]" -3.072 0.041 -3.153 -3.099 -3.073 -3.045 -2.993 1.005 450
"b0_pCap[3]" -2.348 0.048 -2.444 -2.379 -2.347 -2.316 -2.254 1.006 370
"b0_pCap[4]" -2.832 1.461 -4.696 -3.178 -2.806 -2.421 -0.985 1.038 3000
"b0_pCap[5]" -2.801 1.426 -4.665 -3.164 -2.8 -2.413 -0.854 1.052 3000
"b0_pCap[6]" -2.85 1.647 -4.984 -3.181 -2.805 -2.417 -0.863 1.029 3000
"b0_pCap[7]" -2.841 1.432 -5.033 -3.178 -2.809 -2.446 -0.967 1.026 2100
"b0_pCap[8]" -2.807 1.821 -4.712 -3.146 -2.803 -2.428 -0.805 1.047 3000
"b_flow[1]" -0.115 0.047 -0.205 -0.145 -0.116 -0.085 -0.017 1.002 1100
"b_flow[2]" -0.144 0.044 -0.232 -0.174 -0.144 -0.115 -0.055 1.003 920
"b_flow[3]" -0.156 0.043 -0.241 -0.185 -0.155 -0.127 -0.073 1.001 3000
"b_flow[4]" -0.131 0.432 -0.402 -0.191 -0.14 -0.083 0.132 1.156 2200
"b_flow[5]" -0.139 0.258 -0.391 -0.195 -0.141 -0.088 0.13 1.044 1400
"b_flow[6]" -0.14 0.247 -0.434 -0.191 -0.138 -0.082 0.136 1.04 1800
"b_flow[7]" -0.143 0.18 -0.427 -0.192 -0.14 -0.086 0.12 1.006 1800
