"Trib" "RunYr" "Wk" "TribInd" "YrInd" "WkInd" "Rel1" "Recap1" "mr_flow"
"battle creek_ubc" 2012 10 1 8 19 590 55 -0.757685879204193
"battle creek_ubc" 2012 12 1 8 21 496 23 0.285849555063257
"battle creek_ubc" 2013 4 1 9 13 406 31 -0.458515311018303
"battle creek_ubc" 2013 5 1 9 14 373 29 -0.145098525299752
"battle creek_ubc" 2013 6 1 9 15 509 30 -0.287560700626366
"battle creek_ubc" 2013 7 1 9 16 388 18 -0.369476451439169
"battle creek_ubc" 2013 8 1 9 17 351 38 -0.365914897056004
"battle creek_ubc" 2013 9 1 9 18 345 25 -0.469199974167799
"battle creek_ubc" 2014 5 1 10 14 980 108 -1.06754111053958
"battle creek_ubc" 2014 8 1 10 17 536 41 -0.793301423035847
"battle creek_ubc" 2016 50 1 11 6 134 4 0.186126032334627
"battle creek_ubc" 2016 3 1 11 12 271 7 1.72827908024523
"battle creek_ubc" 2016 11 1 11 20 996 24 5.01915533029002
"battle creek_ubc" 2017 52 1 12 8 475 14 0.727482298575762
"battle creek_ubc" 2017 53 1 12 9 506 17 0.125579607820816
"battle creek_ubc" 2017 4 1 12 13 523 33 1.36856208754553
"battle creek_ubc" 2017 5 1 12 14 554 21 0.649128102146124
"battle creek_ubc" 2018 3 1 13 12 333 11 -0.426461321569815
"battle creek_ubc" 2018 5 1 13 14 411 25 -0.216329612963059
"battle creek_ubc" 2018 7 1 13 16 299 11 -0.426461321569815
"battle creek_ubc" 2018 11 1 13 20 402 18 -0.469199974167799
"battle creek_ubc" 2018 14 1 13 23 499 21 0.310780435745415
"battle creek_ubc" 2019 1 1 14 10 224 25 -0.625908367027075
"battle creek_ubc" 2019 6 1 14 15 300 22 3.13153150721238
"battle creek_ubc" 2020 4 1 15 13 208 1 -0.070305883253279
"battle creek_ubc" 2020 6 1 15 15 906 43 -0.52974639868161
"battle creek_ubc" 2020 7 1 15 16 1143 16 -0.697139454690382
"battle creek_ubc" 2021 45 1 16 1 332 47 -1.04617178424059
"battle creek_ubc" 2021 46 1 16 2 336 42 -1.03548712109109
"battle creek_ubc" 2021 51 1 16 7 295 10 -0.654400802092398
"battle creek_ubc" 2021 5 1 16 14 404 3 -0.910832717680304
"battle creek_ubc" 2021 6 1 16 15 298 11 -0.871655619465485
"battle creek_ubc" 2021 9 1 16 18 320 14 -0.910832717680304
"battle creek_ubc" 2021 10 1 16 19 449 0 -0.789739868652682
"clear creek_lcc" 2003 4 2 17 13 1971 106 0.00602425492610675
"clear creek_lcc" 2003 5 2 17 14 2037 103 0.21753718364926
"clear creek_lcc" 2003 6 2 17 15 1985 97 -0.327809403661039
"clear creek_lcc" 2003 7 2 17 16 1960 80 -0.294680872656208
"clear creek_lcc" 2003 8 2 17 17 902 39 -0.20803702233588
"clear creek_lcc" 2003 9 2 17 18 1953 126 -0.381324722976536
"clear creek_lcc" 2003 10 2 17 19 1476 173 -0.427194996675533
"clear creek_lcc" 2003 11 2 17 20 1368 94 0.877559455207053
"clear creek_lcc" 2003 12 2 17 21 373 16 -0.0500394129282231
"clear creek_lcc" 2003 13 2 17 22 276 18 -0.269197387267876
"clear creek_lcc" 2003 14 2 17 23 45 4 -0.371131328821203
"clear creek_lcc" 2003 15 2 17 24 175 4 -0.386421420054202
"clear creek_lcc" 2003 16 2 17 25 201 14 0.948913214294382
"clear creek_lcc" 2003 17 2 17 26 555 34 -0.0704262012388885
"clear creek_lcc" 2003 18 2 17 27 98 4 7.36565483507632
"clear creek_lcc" 2003 20 2 17 29 388 12 -0.243713901879545
"clear creek_lcc" 2004 49 2 1 5 14 3 -0.396614814209535
"clear creek_lcc" 2004 50 2 1 6 259 5 -0.284487478500875
"clear creek_lcc" 2004 51 2 1 7 346 14 -0.223327113568879
"clear creek_lcc" 2004 2 2 1 11 247 13 0.372986444518084
"clear creek_lcc" 2004 5 2 1 14 398 25 -0.248810598957211
"clear creek_lcc" 2004 6 2 1 15 793 40 0.0646362713192698
"clear creek_lcc" 2004 7 2 1 16 447 12 -0.294680872656208
"clear creek_lcc" 2004 8 2 1 17 398 11 0.520790659770408
"clear creek_lcc" 2004 9 2 1 18 402 11 0.928526425983717
"clear creek_lcc" 2004 10 2 1 19 693 17 0.589596070318904
"clear creek_lcc" 2004 11 2 1 20 782 22 -0.15197335448155
"clear creek_lcc" 2004 13 2 1 22 368 7 -0.366034631743537
"clear creek_lcc" 2005 1 2 2 10 662 12 -0.106103080782553
"clear creek_lcc" 2005 2 2 2 11 690 29 0.0544428771639371
"clear creek_lcc" 2005 3 2 2 12 452 7 -0.322712706583373
"clear creek_lcc" 2005 4 2 2 13 855 11 -0.248810598957211
"clear creek_lcc" 2005 5 2 2 14 835 32 -0.136683263248551
"clear creek_lcc" 2005 6 2 2 15 820 31 -0.386421420054202
"clear creek_lcc" 2005 7 2 2 16 759 26 -0.409356556903701
"clear creek_lcc" 2005 8 2 2 17 809 12 0.115603242095933
"clear creek_lcc" 2005 9 2 2 18 724 18 0.118151590634767
"clear creek_lcc" 2005 10 2 2 19 475 5 -0.230972159185379
"clear creek_lcc" 2005 11 2 2 20 92 2 -0.366034631743537
"clear creek_lcc" 2005 12 2 2 21 319 1 3.95086779303986
"clear creek_lcc" 2005 13 2 2 22 641 54 0.327116170819087
"clear creek_lcc" 2005 14 2 2 23 600 48 -0.0296526246175577
"clear creek_lcc" 2005 15 2 2 24 582 56 0.00347590638727358
"clear creek_lcc" 2005 16 2 2 25 273 16 -0.238617204801878
"clear creek_lcc" 2005 17 2 2 26 120 9 -0.269197387267876
"clear creek_lcc" 2005 18 2 2 27 191 9 -0.358389586127037
"clear creek_lcc" 2005 19 2 2 28 96 3 0.327116170819087
"clear creek_lcc" 2006 51 2 3 7 186 8 0.709368451644063
"clear creek_lcc" 2006 3 2 3 12 392 14 0.39337323282875
"clear creek_lcc" 2006 4 2 3 13 803 32 -0.106103080782553
"clear creek_lcc" 2006 5 2 3 14 765 30 0.673691572100399
"clear creek_lcc" 2006 6 2 3 15 687 24 0.100313150862934
