StudyID,FishID,GEN,time,local_time,GenRKM,Region,GenLat,GenLon,Rel_date,RelRKM,release_latitude,release_longitude,Rel_loc
SB_Spring_2016,SB2016-001,Butte0.5,2016-04-15T05:10:47Z,2016-04-14 21:10:47.965900,249.5,Sutter Bypass,39.102,-121.75864,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte1,2016-04-15T05:32:20Z,2016-04-14 21:32:20.741200,249.05,Sutter Bypass,39.09834,-121.75655,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte2,2016-04-15T17:54:47Z,2016-04-15 09:54:47.445899,238.46,Sutter Bypass,39.00687,-121.72227,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte3,2016-04-16T01:49:59Z,2016-04-15 17:49:59.240499,226.46,Sutter Bypass,38.92734,-121.62995,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-16T12:46:57Z,2016-04-16 04:46:57.438399,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-16T14:14:34Z,2016-04-16 06:14:34.583700,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-16T19:51:24Z,2016-04-16 11:51:24.208900,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-17T01:21:38Z,2016-04-16 17:21:38.502400,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-17T04:43:09Z,2016-04-16 20:43:09.600000,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-17T17:26:28Z,2016-04-17 09:26:28.163700,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-18T04:51:04Z,2016-04-17 20:51:04.851300,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-18T06:05:38Z,2016-04-17 22:05:38.188999,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-04-18T12:29:37Z,2016-04-18 04:29:37.470200,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-02T23:37:28Z,2016-05-02 15:37:28.404399,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-03T02:50:09Z,2016-05-02 18:50:09.043600,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-03T11:38:23Z,2016-05-03 03:38:23.144500,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-03T23:51:01Z,2016-05-03 15:51:01.861100,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-04T12:16:12Z,2016-05-04 04:16:12.978500,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-04T22:53:34Z,2016-05-04 14:53:34.690099,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-05T03:10:09Z,2016-05-04 19:10:09.105300,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-05T06:53:29Z,2016-05-04 22:53:29.505199,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-05T08:06:32Z,2016-05-05 00:06:32.321200,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-06T01:32:12Z,2016-05-05 17:32:12.927100,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,Butte4,2016-05-06T04:38:01Z,2016-05-05 20:38:01.316300,224.89,Sutter Bypass,38.915024,-121.62542,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-001,SutterBypass_Weir2_RST_Rel,2016-04-15T05:00:00Z,2016-04-14 21:00:00.000000,249.541,Sutter Bypass,39.10239,-121.758804,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-002,Butte1,2016-04-15T06:07:44Z,2016-04-14 22:07:44.581700,249.05,Sutter Bypass,39.09834,-121.75655,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-002,Butte1,2016-04-15T10:00:54Z,2016-04-15 02:00:54.364300,249.05,Sutter Bypass,39.09834,-121.75655,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-002,Butte1,2016-04-15T13:50:28Z,2016-04-15 05:50:28.040899,249.05,Sutter Bypass,39.09834,-121.75655,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-002,SutterBypass_Weir2_RST_Rel,2016-04-15T05:00:00Z,2016-04-14 21:00:00.000000,249.541,Sutter Bypass,39.10239,-121.758804,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2016,SB2016-003,Blw_Steamboat,2016-04-18T04:40:01Z,2016-04-17 20:40:01.521200,128.608,North Delta,38.29995,-121.56966,4/14/2016 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
