StudyID,FishID,GEN,time,local_time,GenRKM,Region,GenLat,GenLon,Rel_date,RelRKM,release_latitude,release_longitude,Rel_loc
BC-Spring-2018,BC2018-001,UpperButte_RST_Rel,2018-05-16T04:00:00Z,2018-05-15 20:00:00.000000,340.854,Butte Creek,39.70936,-121.75056,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-002,UpperButte_RST_Rel,2018-05-16T04:00:00Z,2018-05-15 20:00:00.000000,340.854,Butte Creek,39.70936,-121.75056,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-003,UpperButte_RST_Rel,2018-05-16T04:00:00Z,2018-05-15 20:00:00.000000,340.854,Butte Creek,39.70936,-121.75056,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-004,UpperButte1,2018-05-18T21:03:47Z,2018-05-18 13:03:47.137399,324.109,Butte Creek,39.58413,-121.80032,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-004,UpperButte_RST_Rel,2018-05-16T04:00:00Z,2018-05-15 20:00:00.000000,340.854,Butte Creek,39.70936,-121.75056,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-005,UpperButte_RST_Rel,2018-05-16T04:00:00Z,2018-05-15 20:00:00.000000,340.854,Butte Creek,39.70936,-121.75056,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-006,UpperButte_RST_Rel,2018-05-16T04:00:00Z,2018-05-15 20:00:00.000000,340.854,Butte Creek,39.70936,-121.75056,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-007,UpperButte_RST_Rel,2018-05-16T04:00:00Z,2018-05-15 20:00:00.000000,340.854,Butte Creek,39.70936,-121.75056,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-008,UpperButte1,2018-05-19T08:58:42Z,2018-05-19 00:58:42.805800,324.109,Butte Creek,39.58413,-121.80032,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
BC-Spring-2018,BC2018-008,UpperButte2,2018-05-22T05:29:51Z,2018-05-21 21:29:51.003299,307.161,Butte Creek,39.464115,-121.87012,5/15/2018 20:00:00,340.854,39.70936,-121.75056,UpperButte_RST_Rel
