StudyID,FishID,GEN,time,local_time,GenRKM,Region,GenLat,GenLon,Rel_date,RelRKM,release_latitude,release_longitude,Rel_loc
SB_Spring_2017,SB2017-001,Butte1,2017-05-07T18:06:19Z,2017-05-07 10:06:19.661200,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-001,Butte1,2017-05-07T22:15:01Z,2017-05-07 14:15:01.062600,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-001,Butte1,2017-05-08T00:03:32Z,2017-05-07 16:03:32.567300,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-001,Butte1,2017-05-08T01:35:31Z,2017-05-07 17:35:31.344800,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-001,Butte1,2017-05-08T14:21:03Z,2017-05-08 06:21:03.428700,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-001,SutterBypass_Weir2_RST_Rel,2017-05-07T05:00:00Z,2017-05-06 21:00:00.000000,249.541,Sutter Bypass,39.10239,-121.758804,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-002,Butte1,2017-05-07T05:21:17Z,2017-05-06 21:21:17.367200,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-002,SutterBypass_Weir2_RST_Rel,2017-05-07T05:00:00Z,2017-05-06 21:00:00.000000,249.541,Sutter Bypass,39.10239,-121.758804,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-003,SutterBypass_Weir2_RST_Rel,2017-05-07T05:00:00Z,2017-05-06 21:00:00.000000,249.541,Sutter Bypass,39.10239,-121.758804,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte1,2017-05-07T16:54:18Z,2017-05-07 08:54:18.958300,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte2,2017-05-07T23:19:24Z,2017-05-07 15:19:24.682100,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte3,2017-05-08T10:13:29Z,2017-05-08 02:13:29.587500,226.46,Sutter Bypass,38.92734,-121.62995,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte3,2017-05-08T10:24:39Z,2017-05-08 02:24:39.680599,226.46,Sutter Bypass,38.92734,-121.62995,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte3,2017-05-08T10:25:49Z,2017-05-08 02:25:49.673800,226.46,Sutter Bypass,38.92734,-121.62995,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte4,2017-05-08T11:46:34Z,2017-05-08 03:46:34.687100,224.89,Sutter Bypass,38.915024,-121.62542,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte4,2017-05-08T17:22:00Z,2017-05-08 09:22:00.709699,224.89,Sutter Bypass,38.915024,-121.62542,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte4,2017-05-08T20:46:13Z,2017-05-08 12:46:13.596199,224.89,Sutter Bypass,38.915024,-121.62542,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte4,2017-05-08T21:46:48Z,2017-05-08 13:46:48.969900,224.89,Sutter Bypass,38.915024,-121.62542,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte4,2017-05-09T01:21:00Z,2017-05-08 17:21:00.337300,224.89,Sutter Bypass,38.915024,-121.62542,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,Butte4,2017-05-25T04:09:24Z,2017-05-24 20:09:24.977200,224.89,Sutter Bypass,38.915024,-121.62542,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-004,SutterBypass_Weir2_RST_Rel,2017-05-07T05:00:00Z,2017-05-06 21:00:00.000000,249.541,Sutter Bypass,39.10239,-121.758804,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-005,Butte1,2017-05-07T13:02:16Z,2017-05-07 05:02:16.760900,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-005,SutterBypass_Weir2_RST_Rel,2017-05-07T05:00:00Z,2017-05-06 21:00:00.000000,249.541,Sutter Bypass,39.10239,-121.758804,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte1,2017-05-07T05:16:18Z,2017-05-06 21:16:18.084700,249.05,Sutter Bypass,39.09834,-121.75655,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:31:29Z,2017-05-07 14:31:29.558799,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:34:28Z,2017-05-07 14:34:28.095700,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:34:32Z,2017-05-07 14:34:32.527200,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:34:56Z,2017-05-07 14:34:56.534200,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:35:02Z,2017-05-07 14:35:02.191300,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:35:10Z,2017-05-07 14:35:10.751000,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:35:17Z,2017-05-07 14:35:17.021500,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:35:20Z,2017-05-07 14:35:20.236900,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:35:21Z,2017-05-07 14:35:21.965200,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:35:48Z,2017-05-07 14:35:48.673399,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:35:51Z,2017-05-07 14:35:51.628400,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:35:58Z,2017-05-07 14:35:58.160200,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:36:06Z,2017-05-07 14:36:06.458200,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:36:12Z,2017-05-07 14:36:12.378800,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:36:32Z,2017-05-07 14:36:32.821100,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:36:40Z,2017-05-07 14:36:40.824800,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:36:42Z,2017-05-07 14:36:42.300100,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
SB_Spring_2017,SB2017-006,Butte2,2017-05-07T22:36:50Z,2017-05-07 14:36:50.305899,238.46,Sutter Bypass,39.00687,-121.72227,5/6/2017 21:00:00,249.541,39.10239,-121.758804,SutterBypass_Weir2_RST_Rel
