"Trib" "RunYr" "Wk" "TribInd" "YrInd" "WkInd" "Rel1" "Recap1" "mr_flow"
"battle creek_ubc" 2011 4 1 8 13 2015 159 -0.596755118591266
"battle creek_ubc" 2011 5 1 8 14 1995 146 -0.671786519261371
"battle creek_ubc" 2011 7 1 8 16 987 46 -0.295822726656328
"battle creek_ubc" 2011 8 1 8 17 1123 72 -0.161088921151946
"battle creek_ubc" 2011 9 1 8 18 995 52 1.74696766578137
"battle creek_ubc" 2012 2 1 9 11 625 61 -1.20023348097018
"battle creek_ubc" 2012 3 1 9 12 383 37 1.56947402978758
"battle creek_ubc" 2012 4 1 9 13 1217 107 -0.628542615219246
"battle creek_ubc" 2012 5 1 9 14 1229 173 -0.925118345179791
"battle creek_ubc" 2012 6 1 9 15 655 63 -0.709705614223683
"battle creek_ubc" 2012 7 1 9 16 607 56 -0.929152291452377
"battle creek_ubc" 2012 8 1 9 17 602 75 -0.981593592995999
"battle creek_ubc" 2012 9 1 9 18 620 46 -0.971912121941792
"battle creek_ubc" 2012 10 1 9 19 590 55 -0.96949175417824
"battle creek_ubc" 2012 12 1 9 21 496 23 0.118060160911026
"battle creek_ubc" 2013 4 1 10 13 406 31 -0.185292598787464
"battle creek_ubc" 2013 5 1 10 14 373 29 -0.408773222288745
"battle creek_ubc" 2013 6 1 10 15 509 30 -0.44830589576009
"battle creek_ubc" 2013 7 1 10 16 388 18 -0.561256391392507
"battle creek_ubc" 2013 8 1 10 17 351 38 -0.634674213553577
"battle creek_ubc" 2013 9 1 10 18 345 25 -0.572551440955749
"battle creek_ubc" 2014 6 1 11 15 980 108 -0.493486094013057
"battle creek_ubc" 2014 8 1 11 17 536 41 -1.16231438600787
"battle creek_ubc" 2016 51 1 12 7 134 4 0.374619143847514
"battle creek_ubc" 2016 2 1 12 11 271 7 3.44848620355827
"battle creek_ubc" 2016 11 1 12 20 996 24 1.50493088942619
"battle creek_ubc" 2017 52 1 13 8 981 31 0.218908817725683
"battle creek_ubc" 2017 4 1 13 13 523 33 0.512580106369966
"battle creek_ubc" 2017 5 1 13 14 554 21 1.78165960372561
"battle creek_ubc" 2018 3 1 14 12 333 11 0.334279681121651
"battle creek_ubc" 2018 5 1 14 14 411 25 -0.453146631287194
"battle creek_ubc" 2018 11 1 14 20 402 18 0.493217164261551
"battle creek_ubc" 2018 14 1 14 23 499 21 4.90474080796193
"battle creek_ubc" 2019 1 1 15 10 224 25 -0.30711777621957
"battle creek_ubc" 2019 6 1 15 15 300 22 0.565828197168105
"battle creek_ubc" 2020 5 1 16 14 208 1 -0.179645074005843
"battle creek_ubc" 2020 6 1 16 15 906 43 -0.84282584121903
"battle creek_ubc" 2020 8 1 16 17 1143 16 -0.929959080706894
"battle creek_ubc" 2021 45 1 17 1 332 47 -1.28171919567642
"battle creek_ubc" 2021 46 1 17 2 336 42 -1.27365130313125
"battle creek_ubc" 2021 51 1 17 7 295 10 -1.17845017109821
"clear creek_lcc" 2003 4 2 1 13 996 83 0.278005582137682
"clear creek_lcc" 2003 5 2 1 14 2007 88 2.74997062748303
"clear creek_lcc" 2003 6 2 1 15 1997 99 -0.286917177532654
"clear creek_lcc" 2003 7 2 1 16 1976 83 -0.372511535058463
"clear creek_lcc" 2003 8 2 1 17 1879 72 -0.149966205491361
"clear creek_lcc" 2003 9 2 1 18 983 87 -0.399901729466722
"clear creek_lcc" 2003 10 2 1 19 1857 141 -0.447834569681174
