"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"pred_surv[1,1]" 0.935550025924211 0.0002412566291146 0.0136187557983004 0.90604270162357 0.92687321090522 0.935775822518197 0.945374923045077 0.961039232326348 3186.51783831584 0.998710287772667
"pred_surv[1,2]" 0.768226462452122 0.000892720115532915 0.0317937968958033 0.710728409187335 0.745797161676252 0.766184724230782 0.790634137963658 0.834977973178468 1268.39391409036 0.999201158946597
"pred_surv[1,3]" 0.223063114861332 0.000682942534468451 0.0281797977686793 0.170035272445143 0.203052740699696 0.221500976266338 0.241230162797269 0.28311710104776 1702.57957981916 0.999795785301094
"pred_surv[1,4]" 0.584633073940058 0.0101652305740204 0.289626297118528 0.20761061275871 0.314154874102884 0.50450802798963 0.912666364861691 0.991962839952564 811.785922211988 1.00015663690161
"pred_surv[2,1]" 0.604653857276503 0.000901502293215848 0.0370676572802051 0.532791491189658 0.580673052848231 0.60337940498153 0.628942964428532 0.678484182479861 1690.66127958975 1.00180463060181
"pred_surv[2,2]" 0.480468869297294 0.0157091284576835 0.234909135114359 0.244221784222401 0.315047722786906 0.371004491725687 0.58095802066087 0.988543805373679 223.61226963943 1.00480725624174
"pred_surv[2,3]" 0.228271943090129 0.0135026822452045 0.328196314897042 0.00766831665508732 0.0194234032997206 0.0527672879308384 0.269716277855986 0.985645491272688 590.782068903319 1.00076367134553
"pred_surv[2,4]" 0.348638229447555 0.0101809184398953 0.367893024053491 0.00770480448689842 0.0295098362351638 0.152199315960434 0.702437667673849 0.989799522726117 1305.77752461736 0.998703035233023
"pred_surv[3,1]" 0.90778236566129 0.000265654514314158 0.0124132024840247 0.882457038337594 0.89969311718194 0.908354220075192 0.91631504350409 0.931234605295666 2183.39986243204 1.00106289699649
"pred_surv[3,2]" 0.653600754309194 0.000418717526840024 0.0207373542807301 0.614207475859498 0.639912395180501 0.652896193418212 0.667108061498207 0.695537278161478 2452.81285898101 1.00031654536839
"pred_surv[3,3]" 0.155913011740153 0.000468999313476275 0.0203577727658746 0.119595086119463 0.142034270983795 0.155313362919922 0.168239682132446 0.199368266866912 1884.15276027888 0.999458074091795
"pred_surv[3,4]" 0.612672864606496 0.00954615691169285 0.280714329787756 0.215127844670195 0.342723119197826 0.574201196567062 0.915930285187078 0.990825470673953 864.71308022978 0.999157177132617
"pred_surv[4,1]" 0.883779634700696 0.000656654952123244 0.0238121249315353 0.837848412626555 0.867335635193153 0.88344737039773 0.8994006071274 0.931857607503291 1314.98820459193 1.00042152482297
"pred_surv[4,2]" 0.831236570901352 0.000965588894787808 0.0343326886545781 0.765686767183568 0.808803976297444 0.830165851638719 0.854586537522759 0.89644013265008 1264.24459524202 0.99962864579448
"pred_surv[4,3]" 0.385617891645156 0.000580773226973541 0.0244521365684522 0.337426391403824 0.37034423134938 0.385504595735593 0.402297306810843 0.433879536907837 1772.63961275722 0.999582392494893
"pred_surv[4,4]" 0.872933559704917 0.00277729169205408 0.0898674958503311 0.71791472670645 0.791887532421137 0.879300000968088 0.96272554852966 0.992334903479646 1047.03763059884 0.999697342666617
"pred_surv[5,1]" 0.67329553399047 0.000695308757597574 0.0271343944913146 0.619672092096694 0.65461634076017 0.673933034131361 0.692340479738864 0.724754403925287 1522.94728280994 1.00224240161316
"pred_surv[5,2]" 0.142986694246352 0.000561292683360186 0.0243625602096962 0.0980139106647921 0.126621861049273 0.141522426423352 0.158481002598948 0.191338297837931 1883.94009336301 0.99903736377392
"pred_surv[5,3]" 0.591883327199881 0.00844977938519298 0.262807008537529 0.225987977377038 0.360630118472835 0.512586851786959 0.873110586462267 0.990126049184173 967.34890716132 1.00010088524183
"pred_surv[5,4]" 0.274830910054344 0.00981398602852532 0.348914512968228 0.00763238288721901 0.0189862223154462 0.0692965047183597 0.518530878462783 0.987713412177256 1264.00035970756 0.999653035711684
"pred_surv[6,1]" 0.966608874455691 0.000183430022526584 0.00842476688309994 0.948462177596519 0.961664993027245 0.967015378354745 0.972530798209624 0.981133761722212 2109.47773755163 1.00093190163497
"pred_surv[6,2]" 0.701797105000991 0.000418421945711107 0.0221296694403876 0.658318126689915 0.686342817527493 0.703116263012439 0.717022170498879 0.743239708098922 2797.18341244785 0.999076507304223
"pred_surv[6,3]" 0.685732009637563 0.0005541545239478 0.0266893885452075 0.632324258400379 0.667095621360578 0.686232165593501 0.704076612487322 0.737987304232804 2319.61272386392 1.00074508368423
"pred_surv[6,4]" 0.744989168323656 0.00640938989583623 0.187627841413198 0.478609204392845 0.557670437753428 0.73915762091213 0.946696375594469 0.991197176145474 856.961244425618 1.00049259376123
"pred_surv[7,1]" 0.943000515451506 0.000186298329040199 0.00902488515205052 0.924620975296148 0.937264756834055 0.943198011474415 0.949002183983204 0.960523857562109 2346.74255423442 0.998535199382416
"pred_surv[7,2]" 0.397423858197197 0.000490332923948631 0.0201072286532452 0.359324502303801 0.384415892872613 0.39699061689353 0.410455197868937 0.43670608528422 1681.59854306471 0.998645414185539
"pred_surv[7,3]" 0.320914976002087 0.0113447463827455 0.15340375282476 0.213457311853933 0.249262049291185 0.273822995628823 0.312898450178088 0.930189777773289 182.844703878482 1.01297338785609
"pred_surv[7,4]" 0.359579974858622 0.0145124837707716 0.380696387477572 0.00875987324428289 0.0316758336559773 0.135087065820603 0.789416900676591 0.990200136469086 688.135585806558 1.00760910697171
"pred_surv[8,1]" 0.878303315359373 0.000268646246839144 0.0115393015425338 0.855860796455325 0.870427139646349 0.878477006334894 0.885767990021166 0.900998566390779 1845.00475439922 0.998729001869228
