"year","stream","data_type","count","lcl","ucl"
2015,"butte creek","holding_count",725,NA,NA
2015,"butte creek","carcass_estimate",413,NA,NA
2016,"butte creek","upstream_estimate",4115,NA,NA
2016,"butte creek","holding_count",1448,NA,NA
2016,"butte creek","carcass_estimate",5371,NA,NA
2017,"butte creek","holding_count",552,NA,NA
2017,"butte creek","carcass_estimate",515,NA,NA
2018,"butte creek","carcass_estimate",2320,NA,NA
2019,"butte creek","upstream_estimate",5650,NA,NA
2019,"butte creek","carcass_estimate",14679,NA,NA
2020,"butte creek","upstream_estimate",2991,NA,NA
2020,"butte creek","carcass_estimate",1229,NA,NA
2021,"butte creek","upstream_estimate",7813,NA,NA
2021,"butte creek","carcass_estimate",1807,NA,NA
2022,"butte creek","upstream_estimate",5463,NA,NA
2022,"butte creek","carcass_estimate",2900,NA,NA
1995,"clear creek","upstream_estimate",2,NA,NA
1998,"clear creek","upstream_estimate",47,NA,NA
1999,"clear creek","upstream_estimate",35,NA,NA
2000,"clear creek","upstream_estimate",9,NA,NA
2000,"clear creek","redd_count",8,NA,NA
2001,"clear creek","upstream_estimate",0,NA,NA
2001,"clear creek","redd_count",47,NA,NA
2002,"clear creek","P2S_modeled_count",105,87,127
2002,"clear creek","upstream_estimate",66,NA,NA
2002,"clear creek","redd_count",149,NA,NA
2003,"clear creek","P2S_modeled_count",41,29,54
2003,"clear creek","upstream_estimate",25,NA,NA
2003,"clear creek","redd_count",53,NA,NA
2004,"clear creek","P2S_modeled_count",37,27,50
2004,"clear creek","upstream_estimate",98,NA,NA
2004,"clear creek","redd_count",37,NA,NA
2005,"clear creek","P2S_modeled_count",69,54,87
2005,"clear creek","upstream_estimate",69,NA,NA
2005,"clear creek","redd_count",52,NA,NA
2006,"clear creek","P2S_modeled_count",73,58,91
2006,"clear creek","upstream_estimate",77,NA,NA
2006,"clear creek","redd_count",82,NA,NA
2007,"clear creek","P2S_modeled_count",50,37,65
2007,"clear creek","upstream_estimate",194,NA,NA
2007,"clear creek","redd_count",53,NA,NA
2008,"clear creek","P2S_modeled_count",65,51,82
2008,"clear creek","upstream_estimate",200,NA,NA
2008,"clear creek","redd_count",86,NA,NA
2008,"clear creek","holding_count",632,NA,NA
2009,"clear creek","P2S_modeled_count",113,93,135
2009,"clear creek","upstream_estimate",120,NA,NA
2009,"clear creek","redd_count",64,NA,NA
2009,"clear creek","holding_count",260,NA,NA
2010,"clear creek","P2S_modeled_count",38,27,51
2010,"clear creek","upstream_estimate",21,NA,NA
2010,"clear creek","redd_count",9,NA,NA
2010,"clear creek","holding_count",150,NA,NA
2011,"clear creek","P2S_modeled_count",40,29,54
2011,"clear creek","upstream_estimate",8,NA,NA
2011,"clear creek","redd_count",16,NA,NA
2011,"clear creek","holding_count",89,NA,NA
2012,"clear creek","P2S_modeled_count",40,29,53
2012,"clear creek","upstream_estimate",68,NA,NA
2012,"clear creek","redd_count",26,NA,NA
2012,"clear creek","holding_count",298,NA,NA
2013,"clear creek","P2S_modeled_count",136,114,160
2013,"clear creek","upstream_estimate",659,NA,NA
2013,"clear creek","redd_count",144,NA,NA
2013,"clear creek","holding_count",2480,NA,NA
2014,"clear creek","P2S_modeled_count",84,67,103
2014,"clear creek","upstream_estimate",95,NA,NA
2014,"clear creek","redd_count",66,NA,NA
2014,"clear creek","holding_count",667,NA,NA
2015,"clear creek","P2S_modeled_count",53,40,68
2015,"clear creek","upstream_estimate",45,NA,NA
2015,"clear creek","redd_count",29,NA,NA
2015,"clear creek","holding_count",298,NA,NA
2016,"clear creek","P2S_modeled_count",32,22,44
2016,"clear creek","upstream_estimate",29,NA,NA
2016,"clear creek","redd_count",22,NA,NA
2016,"clear creek","holding_count",261,NA,NA
2017,"clear creek","P2S_modeled_count",18,11,27
2017,"clear creek","upstream_estimate",25,NA,NA
2017,"clear creek","redd_count",9,NA,NA
2017,"clear creek","holding_count",25,NA,NA
2018,"clear creek","P2S_modeled_count",46,34,61
2018,"clear creek","upstream_estimate",49,NA,NA
2018,"clear creek","redd_count",4,NA,NA
2018,"clear creek","holding_count",65,NA,NA
2019,"clear creek","P2S_modeled_count",107,88,129
2019,"clear creek","upstream_estimate",62,NA,NA
2019,"clear creek","redd_count",44,NA,NA
2019,"clear creek","holding_count",132,NA,NA
2020,"clear creek","P2S_modeled_count",55,42,71
2020,"clear creek","upstream_estimate",172,NA,NA
2021,"clear creek","P2S_modeled_count",185,160,213
2021,"clear creek","upstream_estimate",2252,NA,NA
1986,"deer creek","holding_count",166,NA,NA
1987,"deer creek","holding_count",62,NA,NA
1988,"deer creek","holding_count",115,NA,NA
1989,"deer creek","holding_count",24,NA,NA
1990,"deer creek","holding_count",142,NA,NA
1991,"deer creek","holding_count",139,NA,NA
1992,"deer creek","holding_count",209,NA,NA
1993,"deer creek","holding_count",259,NA,NA
1994,"deer creek","holding_count",485,NA,NA
1995,"deer creek","holding_count",1295,NA,NA
1996,"deer creek","holding_count",614,NA,NA
1997,"deer creek","holding_count",466,NA,NA
1998,"deer creek","holding_count",1879,NA,NA
1999,"deer creek","holding_count",1557,NA,NA
2000,"deer creek","holding_count",637,NA,NA
2001,"deer creek","holding_count",1622,NA,NA
2002,"deer creek","holding_count",2185,NA,NA
2003,"deer creek","holding_count",2759,NA,NA
2004,"deer creek","holding_count",804,NA,NA
2005,"deer creek","holding_count",2239,NA,NA
2006,"deer creek","holding_count",2432,NA,NA
2007,"deer creek","holding_count",644,NA,NA
2008,"deer creek","holding_count",140,NA,NA
2009,"deer creek","holding_count",213,NA,NA
2010,"deer creek","holding_count",262,NA,NA
2011,"deer creek","holding_count",271,NA,NA
2012,"deer creek","holding_count",734,NA,NA
2013,"deer creek","holding_count",708,NA,NA
2014,"deer creek","P2S_modeled_count",639,591,690
2014,"deer creek","upstream_estimate",813,NA,NA
2014,"deer creek","holding_count",641,NA,NA
2015,"deer creek","P2S_modeled_count",101,83,122
2015,"deer creek","upstream_estimate",268,NA,NA
2015,"deer creek","holding_count",99,NA,NA
2016,"deer creek","P2S_modeled_count",266,236,299
2016,"deer creek","upstream_estimate",331,NA,NA
2016,"deer creek","holding_count",268,NA,NA
2017,"deer creek","P2S_modeled_count",217,189,247
2017,"deer creek","upstream_estimate",162,NA,NA
2017,"deer creek","holding_count",219,NA,NA
2018,"deer creek","P2S_modeled_count",103,85,124
2018,"deer creek","upstream_estimate",159,NA,NA
2018,"deer creek","holding_count",104,NA,NA
2019,"deer creek","P2S_modeled_count",375,338,413
2019,"deer creek","upstream_estimate",585,NA,NA
2019,"deer creek","holding_count",373,NA,NA
2020,"deer creek","P2S_modeled_count",41,30,54
