"","par_names","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","stream"
"1","log_mean_redds_per_spawner",-1.57257812435372,0.000578065730393947,0.103392746277432,-1.77925289985401,-1.63837622671249,-1.57201165169054,-1.5056119618889,-1.36949510556065,31990.8437446049,1.00008923197675,"battle creek"
"2","sigma_redds_per_spawner",0.326568225767964,0.000431628585669372,0.0828734423321599,0.196466803177934,0.268253462901938,0.315715026662665,0.372448207767747,0.520794835315266,36864.6706984762,1.00005995482194,"battle creek"
"3","b1_survival",0.374298347081411,0.00133196751369791,0.189714835564142,-0.00560762930783598,0.253887818848827,0.376174595675229,0.497293696538199,0.74572365725288,20286.8828906309,1.00016808201687,"battle creek"
"4","log_redds_per_spawner[1]",-1.52541792323927,0.000534848232300606,0.170698689405425,-1.86969499419483,-1.63862965875287,-1.52216041617623,-1.408647078879,-1.19982137549796,101858.961452799,0.999953955090025,"battle creek"
"5","log_redds_per_spawner[2]",-1.49527051896411,0.000393558055377346,0.130076694470659,-1.75444610777425,-1.58200459478716,-1.49294368695979,-1.40672810817733,-1.24431889683206,109239.919659938,0.99996991696235,"battle creek"
"6","log_redds_per_spawner[3]",-1.65392225693507,0.00134058038692698,0.20878138203448,-2.06914466634158,-1.78879001278525,-1.65417259102709,-1.51819543190371,-1.23972769740241,24254.8064666297,1.00017021180973,"battle creek"
"7","log_redds_per_spawner[4]",-1.57280005295106,0.00059966032994268,0.188786451235981,-1.9554651120592,-1.69655050844757,-1.57008450659766,-1.44419478057387,-1.21462071952971,99113.0878692062,0.999959233446341,"battle creek"
"8","log_redds_per_spawner[5]",-1.33020450290116,0.00135365101119952,0.228582193058873,-1.767419520047,-1.48210025808811,-1.33550525548893,-1.18323579774233,-0.857890437839123,28514.8680421423,1.00007856439875,"battle creek"
"9","log_redds_per_spawner[6]",-1.40564812486277,0.00136188566681836,0.205836445360466,-1.80636612125129,-1.53979968716353,-1.4081163403103,-1.27426875735376,-0.989309734122148,22843.5316959952,1.00013179467205,"battle creek"
"10","log_redds_per_spawner[7]",-1.27461955961725,0.000326847143782068,0.105565286881881,-1.48670642968404,-1.34408901004939,-1.27340750539196,-1.20261317142358,-1.07168898059973,104316.468519581,0.999971948036448,"battle creek"
"11","log_redds_per_spawner[8]",-1.37392531805993,0.000528087642854814,0.166891086621826,-1.70815974474842,-1.48477597029266,-1.37203333385413,-1.26074835054405,-1.05213239082225,99874.4209267159,0.999988931678686,"battle creek"
"12","log_redds_per_spawner[9]",-1.22736998094292,0.00040061669919467,0.12461977788922,-1.47546929402242,-1.30922758075494,-1.22605928782402,-1.14339107444253,-0.987409534537766,96764.4536960704,0.999976100998843,"battle creek"
"13","log_redds_per_spawner[10]",-1.33038307388543,0.000425385136675696,0.134935284858231,-1.60030096119241,-1.42026416999235,-1.32783853733128,-1.2388641737693,-1.07230662553549,100620.492340873,0.999990140039808,"battle creek"
"14","log_redds_per_spawner[11]",-1.80429689441315,0.00134708576872641,0.221035796159572,-2.25118219121491,-1.94650010274514,-1.80107022006752,-1.65793089031849,-1.37760237660383,26923.6991055343,1.00016482814675,"battle creek"
"15","log_redds_per_spawner[12]",-1.54596137074093,0.00021815155538431,0.0744215532266518,-1.69500144584615,-1.59561478049831,-1.54513262218449,-1.49590583070014,-1.4014850247727,116380.664354928,0.999968481612258,"battle creek"
"16","log_redds_per_spawner[13]",-1.99018942291824,0.000357785058807137,0.106839595961111,-2.20607129373442,-2.06167408292097,-1.98800788156178,-1.91718863015276,-1.78611731702394,89170.2682656127,0.999976840063459,"battle creek"
"17","log_redds_per_spawner[14]",-1.69338377689582,0.000323693291959492,0.105901566704491,-1.90572415929228,-1.76381600259182,-1.69163534852857,-1.62094744866241,-1.4891284942201,107037.84857887,0.999999114830999,"battle creek"
"18","log_redds_per_spawner[15]",-2.10306071385468,0.000758910450682728,0.19608741782926,-2.51408152136683,-2.22963236098631,-2.09434839651342,-1.96676123498735,-1.74656365666845,66760.3167209118,1.00005147563846,"battle creek"
"19","log_redds_per_spawner[16]",-1.87126041368569,0.000573003593140185,0.167836885784202,-2.21741817116206,-1.98098953753849,-1.86565534133239,-1.7546662350138,-1.55772667423708,85794.6357121791,0.999995132108416,"battle creek"
"20","log_redds_per_spawner[17]",-1.87357844673796,0.00136694979250587,0.29166968999686,-2.49514903216076,-2.05434917462225,-1.85587369347038,-1.67574071551397,-1.34508859910847,45527.8847563239,1.00000754453051,"battle creek"
"21","log_redds_per_spawner[18]",-1.44469850464759,0.000593820648912272,0.186825534673483,-1.82152574121031,-1.5676072760768,-1.4429427210612,-1.31891020934941,-1.08495949209475,98983.2882739672,0.999963785067689,"battle creek"
"22","log_redds_per_spawner[19]",-1.361783986865,0.00134237140719928,0.243366232001975,-1.8305594748341,-1.52299816983014,-1.36674846769904,-1.20554235718268,-0.867430761699766,32868.1492260808,1.00009678113639,"battle creek"
"23","conversion_rate[1]",0.220703376586208,0.00011767176217563,0.0376092752720718,0.154170677596612,0.194246043358559,0.21823988829618,0.244473813298456,0.301248017412017,102151.656818089,0.999953313629212,"battle creek"
"24","conversion_rate[2]",0.226085824568816,8.8850130489953e-05,0.0293758684960001,0.173003040832947,0.205562615165576,0.224710204509495,0.244943401802198,0.288137092400492,109311.358279775,0.999969733713207,"battle creek"
"25","conversion_rate[3]",0.280149733319694,0.000125222460530266,0.0335642559084923,0.21851756445094,0.256819579823833,0.278882876466631,0.301992937048479,0.349559045493937,71843.8473050305,1.00000627196673,"battle creek"
