par_names,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,stream
log_mean_redds_per_spawner,-1.453740388779688,3.5199183691118744e-4,0.08717012536322961,-1.6310801650088156,-1.509355337950745,-1.4525316973350044,-1.3972268727447763,-1.2840556351401824,61329.60357705156,1.0000417890895428,battle creek
tau_redds_per_spawner,0.32663813145947923,4.482425788893979e-4,0.08282531898374698,0.19712658775494438,0.26856330886048285,0.31590617793864184,0.3728198572301088,0.518810757640396,34142.86949721513,1.000065683211285,battle creek
b1_survival,0.17970444988041626,6.073458068775707e-4,0.09048422348319954,-0.0015714832659900607,0.12190087743965743,0.18044082720531518,0.23833255304477236,0.35593479046940774,22195.94564017317,1.0002524013499903,battle creek
log_redds_per_spawner[1],-1.4055518692637292,6.972760393230315e-4,0.1782044624012527,-1.7626299661823515,-1.5226012943544958,-1.4031073368835467,-1.2858698826571133,-1.06154535573837,65317.216138940756,0.9999801672390477,battle creek
log_redds_per_spawner[2],-1.3767908913984406,5.929083246597309e-4,0.13944511253544264,-1.6557657558261678,-1.4695621273456805,-1.3752212631743035,-1.2822378808249664,-1.1081209625203545,55313.54566188796,1.0000233193772927,battle creek
log_redds_per_spawner[3],-1.5357143551511907,9.132486044548058e-4,0.16433859395251704,-1.862816900532945,-1.6432298723170475,-1.5337641322337896,-1.4280300058839341,-1.2136325080543513,32381.808443992897,1.0000952780213521,battle creek
log_redds_per_spawner[4],-1.453249235633094,7.436596799135392e-4,0.19069211380580844,-1.8380333532628474,-1.5786823324160864,-1.449711608259119,-1.3240953127425255,-1.0877854905519213,65753.21539444587,0.9999914073446556,battle creek
log_redds_per_spawner[5],-1.2114854258209742,9.421215607110072e-4,0.1925774540925724,-1.5851311713275495,-1.3402684581160969,-1.213655387128709,-1.0858225315145555,-0.8276451306524304,41782.74767358443,1.000012614522574,battle creek
log_redds_per_spawner[6],-1.2889535857905987,9.167961385736232e-4,0.15831447441236604,-1.595577646230212,-1.3931470083118178,-1.2911000410889741,-1.1860378813616979,-0.972175395883969,29819.179962565948,1.0001603188481425,battle creek
log_redds_per_spawner[7],-1.1561990331163081,5.454720408493758e-4,0.11907028683829653,-1.3914293060309597,-1.2353813412417503,-1.1560198071463774,-1.0771380422439882,-0.9223440646860506,47649.8798365712,1.0000654290168451,battle creek
log_redds_per_spawner[8],-1.256007820422372,7.008234509428849e-4,0.1729607673671321,-1.6014634840989883,-1.3707951383144792,-1.2548910520274008,-1.1396624062409657,-0.9193557476307813,60908.50716976525,1.0000352766633607,battle creek
log_redds_per_spawner[9],-1.1085549954756584,5.966834754429991e-4,0.13466011188429908,-1.374691085565461,-1.1993144893773418,-1.1071863128828223,-1.0181159010799357,-0.8461528593074025,50931.905033706265,1.0000864912704444,battle creek
log_redds_per_spawner[10],-1.2119538353312231,6.220319574384392e-4,0.14354602446035616,-1.4941711083995661,-1.3086655642000866,-1.2115021566986335,-1.1143877564739486,-0.9327340986738383,53254.577458395324,1.000000608919335,battle creek
log_redds_per_spawner[11],-1.6870658507986056,9.27571534703241e-4,0.17942388094853412,-2.0511996238991017,-1.802498819690853,-1.682691618289096,-1.5655848245040933,-1.3460169452618322,37416.71598654295,1.0000395519291594,battle creek
log_redds_per_spawner[12],-1.4267798684859796,4.900382995242034e-4,0.0935880440193231,-1.6122768002657148,-1.488282851599227,-1.4262264347277887,-1.3640766477190645,-1.243874340605041,36473.77317894873,1.000060137028475,battle creek
log_redds_per_spawner[13],-1.8715665724111117,5.646942571435478e-4,0.11989282516335478,-2.1135171514942273,-1.950733869015077,-1.869065758986057,-1.789676076772024,-1.6442667736755923,45077.481729926396,1.000120159946697,battle creek
log_redds_per_spawner[14],-1.5742563783886867,5.557454003225934e-4,0.1187644181904802,-1.8117973361012907,-1.6530663059977906,-1.572310402707564,-1.494107494284724,-1.3457749115037907,45668.940604418545,1.0001093796390503,battle creek
log_redds_per_spawner[15],-1.984124156749431,8.956019636231819e-4,0.203367660028097,-2.410783110568136,-2.115369757275868,-1.9749523841886552,-1.8427743161128207,-1.6123420514354472,51562.469501820255,1.0000756718237367,battle creek
log_redds_per_spawner[16],-1.752078600033937,7.44961376721183e-4,0.17577663710979893,-2.1178548390030754,-1.8655317640721343,-1.7463129165628715,-1.631376077754462,-1.4249443849994536,55674.30305577383,1.0000438413725468,battle creek
log_redds_per_spawner[17],-1.7565400529747086,0.0011956728637844932,0.2747035183445469,-2.3503141831012035,-1.9260282090636696,-1.7384181000052084,-1.5692988430237451,-1.2627155616996977,52784.17011125374,0.9999977843902925,battle creek
log_redds_per_spawner[18],-1.3250801896172224,7.501990308682927e-4,0.19157709961896588,-1.7080054758790513,-1.451697946551199,-1.322819981574462,-1.1952694088309903,-0.9560991178302207,65213.00162596883,0.999980588506197,battle creek
log_redds_per_spawner[19],-1.2443069701870058,9.689233252986154e-4,0.2146074702655319,-1.661982998261889,-1.3876042446162258,-1.2462822602799681,-1.103074322316062,-0.8157182902470909,49058.1140471659,0.9999576317219177,battle creek
survival_rate[1],0.22101891670147933,1.3338690472571835e-4,0.03819465377435136,0.1538955125162996,0.19435685672226724,0.21847566602637136,0.24481025265983958,0.30389978474663054,81993.37547734263,0.9999621245829473,battle creek
survival_rate[2],0.22600051698921697,1.0068270554202413e-4,0.02929553573081582,0.1726702135989199,0.20557158152196936,0.22446171192830583,0.24506029508146357,0.2872065491360576,84662.89874556314,0.9999608767410839,battle creek
survival_rate[3],0.28055081240336927,1.1705404155167912e-4,0.03373543918161507,0.21844103720272134,0.2572127658522799,0.2791480655547517,0.3025679806904572,0.35025915248023015,83061.52685571306,0.9999888520291146,battle creek
survival_rate[4],0.21122335166160897,1.3926674551505773e-4,0.03928401773962788,0.14248058195640576,0.1836101863264241,0.20837651542038915,0.23558188337034908,0.29636715393194646,79567.72545133461,0.9999618706989355,battle creek
survival_rate[5],0.3905897962139358,2.3521747756895885e-4,0.06530175695107285,0.27558644910236746,0.3448476838185043,0.38629536755810656,0.4318276585478127,0.5308800754389928,77074.4715302329,0.9999772431970705,battle creek
survival_rate[6],0.35854507899229865,1.3487343959342268e-4,0.038546238736228346,0.28753203498936064,0.33169141610922753,0.35723535524339395,0.3837870981823277,0.43761814872031374,81679.13830172099,1.0000733316404709,battle creek
survival_rate[7],0.28100943098080117,1.0428227189072916e-4,0.029914296841262303,0.22579897674448565,0.2602173733567361,0.2797009239493312,0.30047335615990634,0.3433121562987492,82288.02321221134,0.9999846090780093,battle creek
survival_rate[8],0.25642945880441337,1.5582082142470883e-4,0.04290124929635975,0.18095837500292644,0.22621714734119416,0.25342035449222833,0.28345239240039355,0.3493261942337345,75803.43734864856,0.9999653208232925,battle creek
survival_rate[9],0.2953531779442354,1.3138255969652977e-4,0.036897039043828704,0.22820445990721525,0.2697443268898837,0.29363077295971335,0.3191641988170122,0.37302499960994295,78869.2287295656,1.0000213074158715,battle creek
survival_rate[10],0.26668119043300365,1.2769636137683252e-4,0.035968273152230716,0.20170583898521816,0.2414910019076013,0.26461630412350673,0.2899061412462361,0.3421789173245066,79338.16114154471,0.999951479160509,battle creek
survival_rate[11],0.2420777932607011,1.2889304486350317e-4,0.0359691122325137,0.17659105448402998,0.21698841177797215,0.24048525416495214,0.26527307089428664,0.3175393926017387,77875.43247066515,0.9999943124132143,battle creek
survival_rate[12],0.2137703934627739,5.380997382868168e-5,0.015865184553481383,0.18372174531751906,0.20286424677953996,0.21339197395940532,0.2241281138543603,0.24592118738419252,86929.00231377709,0.999970732840734,battle creek
survival_rate[13],0.1374122305627835,5.252830268892319e-5,0.014559336140209602,0.11044258596365009,0.1273077328987935,0.13694142988881272,0.146980827478636,0.1671542472524046,76823.91051758318,1.0000818578776411,battle creek
survival_rate[14],0.1849813090032642,6.75071127936033e-5,0.019538242766188173,0.1486430034491728,0.1715326621628092,0.184335241448646,0.19755355904831168,0.22545263479165098,83766.8018647582,0.9999753406958816,battle creek
survival_rate[15],0.12447393001456868,9.885356158911222e-5,0.024250096349119576,0.08079667070513061,0.1074317725573384,0.12322056906064816,0.14019380362861367,0.175203602184268,60178.62974334293,1.0000566944227172,battle creek
survival_rate[16],0.15618458512045882,9.726082044426433e-5,0.026193807241719172,0.10844803661635397,0.13799807884710358,0.15482926183528473,0.17295908357829143,0.21131976340063885,72530.62119229845,1.0000066268615755,battle creek
survival_rate[17],0.23199663391388425,2.5811643016280833e-4,0.06310317396924411,0.12212934915268908,0.18745676715148551,0.22746811920230509,0.27095302272364497,0.3689416304983646,59768.32815495587,1.0000473433932717,battle creek
survival_rate[18],0.24018445458594742,1.6066675113694175e-4,0.045182493883224456,0.16203041033354637,0.20843407522980933,0.2366740561380165,0.26820403028930134,0.33765510075242783,79083.95371248672,0.9999635084581243,battle creek
survival_rate[19],0.38028797664618275,2.799161001807641e-4,0.0764735008885108,0.24957843659769904,0.32624141340274804,0.3734105670295824,0.4274295448287094,0.5475736759396519,74639.06437490197,1.0000483034190675,battle creek
