year,stream,wy_type,max_flow_std,gdd_std,passage_index,median_passage_timing_std
2012,clear creek,0,0.255061217537419,-0.4197260619028255,-0.24150333578388722,NA
2013,clear creek,0,-0.3155885652888826,-0.6932769884351869,1.0669718333422342,0
2014,clear creek,0,-0.3758594412278404,1.8305113542983116,-0.18172528237203395,0.5640760748177662
2015,clear creek,0,-0.44254211247945313,0.529325923741882,-0.2924253812828733,0
2016,clear creek,0,0.8321227956763757,2.5667402782451996,-0.32784941293434194,-0.5640760748177662
2017,clear creek,1,-0.4656245756050114,-0.6952608388290558,-0.33670542084720906,-1.6922282244532987
2018,clear creek,0,-0.4066360587285847,-0.26663893984261194,-0.28356937337000615,1.6922282244532987
2019,clear creek,1,0.3704735331652103,-0.6897501432905312,-0.25478734765318795,0.5640760748177662
2020,clear creek,0,-0.21941163559905655,0.5868575851640788,-0.011247130049341308,-0.5640760748177662
2021,clear creek,0,-0.21941163559905655,2.154430038052788,4.593876984641577,NA
2022,clear creek,NA,-1.2388870903112135,NA,NA,NA
1995,deer creek,1,3.2130211832995523,NA,NA,NA
1996,deer creek,1,-0.05051406833447388,NA,NA,NA
1997,deer creek,1,-0.8784090971601255,NA,NA,NA
1998,deer creek,1,0.4475119574983668,NA,NA,NA
1999,deer creek,1,-0.044654938618793404,-1.1913602655799338,NA,NA
2000,deer creek,1,-0.5192444455889121,-0.5477856321480797,NA,NA
2001,deer creek,0,-0.2673018678146516,0.052562917671962583,NA,NA
2002,deer creek,0,-0.737789983983794,0.18088263445102556,NA,NA
2003,deer creek,1,0.9806927616252904,-0.5253698202179548,NA,NA
2004,deer creek,0,-0.6071313913241193,-0.1960488146439694,NA,NA
2005,deer creek,1,0.09596417455753808,-0.3078808681025269,NA,NA
2006,deer creek,1,1.1564666530957048,-0.9880741695083867,NA,NA
2007,deer creek,0,-0.9786002152982617,0.11437621723685273,NA,NA
2008,deer creek,0,-1.0002789952462794,-0.15356374960836058,NA,NA
2009,deer creek,0,1.4435640091640483,0.3286540888554035,NA,NA
2010,deer creek,0,-0.33761142440281733,-0.652948518420815,NA,NA
2011,deer creek,1,0.4768076060767692,-1.4002040009729995,NA,NA
2012,deer creek,0,0.0666685259791357,-0.4506504471175381,NA,NA
2013,deer creek,0,-0.8778231841885574,-0.20234747254169036,NA,NA
2014,deer creek,0,-0.23214708952056873,1.588200413755569,1.781314551979389,-0.1864109298003609
2015,deer creek,0,-1.1256643711618417,1.717322900658851,-0.28807808118714484,-1.926246274603721
2016,deer creek,0,1.3263814148504387,1.514098556135321,-0.04987187942554827,0.6835067426013192
2017,deer creek,1,0.08424591512617713,-0.5585304015030158,-0.691926873009437,0.6835067426013192
2018,deer creek,0,0.9455379833312075,0.02421895713221788,-0.7029063933139189,0.6835067426013192
2019,deer creek,1,0.35376588204747916,-0.8302989643252753,0.9157940274925157,0.6835067426013192
2020,deer creek,0,-0.9932480395874629,0.917763856936375,-0.964325352535856,-0.621369766001201
2021,deer creek,0,-1.0143409065639126,2.0563388992714855,NA,NA
2022,deer creek,NA,-0.9258680478571374,1.1918789785832755,NA,NA
2023,deer creek,NA,NA,-1.6812352959977899,NA,NA
1996,feather river,1,0.16381920169667424,NA,NA,NA
1997,feather river,1,-0.48768414863566967,NA,NA,NA
1998,feather river,1,0.1692600074755861,-0.6119503329138696,NA,NA
1999,feather river,1,-0.061257449224140344,-0.5026351629081667,NA,NA
2000,feather river,1,-0.22124859179037143,-0.586983287912567,NA,NA
2001,feather river,0,-0.8653857210426295,-0.5557182495776026,NA,NA
2002,feather river,0,-0.7158990200896912,-0.5557182495776026,NA,NA
2003,feather river,1,-0.4982263121651693,-0.6119503329138696,NA,NA
2004,feather river,0,-0.2436831234808264,-0.5894574995793628,NA,NA
2005,feather river,1,-0.7501899099970424,-0.6119503329138696,NA,NA
2006,feather river,1,1.4212083706104723,-0.5725878745784827,NA,NA
2007,feather river,0,-0.5082902501759006,0.03156962878636917,NA,NA
2008,feather river,0,-0.897322105193895,-0.36205495456749937,NA,NA
2009,feather river,0,-0.5667155736529088,0.6979198163211323,NA,NA
2010,feather river,0,-0.6648490349088518,-0.6119503329138696,NA,NA
2011,feather river,1,1.489983325265268,-0.6119503329138696,NA,NA
2012,feather river,0,0.24254501640702458,-0.33078991623253495,NA,NA
2013,feather river,0,-0.6628843054376556,-0.6119503329138696,NA,NA
2014,feather river,0,-0.7463099226600399,1.9653909747205889,NA,NA
2015,feather river,0,-0.8292101985489989,0.6376390229846541,NA,NA
2016,feather river,0,0.845168064823483,2.7057425839258795,NA,NA
2017,feather river,1,2.91565840518014,-0.5894574995793628,NA,NA
2018,feather river,0,1.283307448481686,-0.1520843553898786,NA,NA
2019,feather river,1,0.72160919667628165,-0.6007039162466162,NA,NA
2020,feather river,0,-0.7658017351836331,0.7357077763231036,NA,NA
2021,feather river,0,-0.8912852843595722,2.2959231605711663,NA,NA
2022,feather river,NA,-0.7261019497536607,NA,NA,NA
2023,feather river,NA,1.8497855996840409,NA,NA,NA
1996,mill creek,1,0.1741066527752197,NA,NA,NA
1997,mill creek,1,-0.8180137930453004,NA,NA,NA
1998,mill creek,1,0.4029809782904851,NA,NA,NA
1999,mill creek,1,-0.20403353720652317,-1.07341296531651,NA,NA
2000,mill creek,1,-0.16422930668212918,-0.5846994295527069,NA,NA
2001,mill creek,0,-0.48266315087728107,0.0898104286311042,NA,NA
2002,mill creek,0,-0.6229730634757699,-0.12220500232525167,NA,NA
2003,mill creek,1,0.761219053010031,-0.7638411558974997,NA,NA
2004,mill creek,0,-0.7782095625209065,-0.07169661811436841,NA,NA
2005,mill creek,1,0.32337251724169713,-0.3867917422758073,NA,NA
2006,mill creek,1,1.5573036634979107,-1.0032069767229899,NA,NA
2007,mill creek,0,-1.1205259450306948,0.1625451637332062,NA,NA
2008,mill creek,0,-0.959318811406899,-0.13977313596381966,NA,NA
2009,mill creek,0,1.8359332771686687,0.27247909089576094,NA,NA
2010,mill creek,0,-0.4428589203528871,-0.911639734728029,NA,NA
2011,mill creek,1,0.28356828671730316,-1.2231413770088517,NA,NA
2012,mill creek,0,0.1741066527752197,-0.3322240544590429,NA,0.04027480622201294
2013,mill creek,0,-0.9881768785370847,-0.23826115787700447,NA,0.04027480622201294
2014,mill creek,0,0.741316937747834,1.8702476085549269,2.2297910226727615,-0.6846717057741993
2015,mill creek,0,-1.3066107227322366,1.3931796159227503,-0.25392493960299034,-1.4096182177704117
2016,mill creek,0,2.3036329858302977,1.507971398220212,-0.03768179553520556,0.04027480622201294
2017,mill creek,1,0.11440030698862873,-0.8339140525695156,-0.38351794047705057,1.4901678302144377
2018,mill creek,0,1.6170100092845017,0.07576923091240007,-0.5949946521740337,0.04027480622201294
2019,mill creek,1,0.7015127072234401,-0.9061164199856002,-0.463333199516418,1.4901678302144377
2020,mill creek,0,-0.9553383883544596,0.9873823472561282,-0.4963384953670635,-1.0471449617723056
2021,mill creek,0,-1.1036091470578273,2.1780892229943807,NA,NA
2022,mill creek,NA,-1.0439028012712364,1.285375159504264,NA,NA
2023,mill creek,NA,NA,-1.2319254438281357,NA,NA
1999,yuba river,1,-0.04554147482146461,NA,NA,NA
2000,yuba river,1,-0.1339065295977888,-0.5762674011419893,NA,NA
2001,yuba river,0,-0.8954526380337463,-0.5448555750243834,NA,NA
2002,yuba river,0,-0.6207176495473566,-0.5762674011419893,NA,NA
2003,yuba river,1,-0.3700822214545098,NA,NA,NA
2004,yuba river,0,-0.5725185287602707,-0.5762674011419893,-0.29515960823078535,NA
2005,yuba river,1,2.4608128061070036,-0.5762674011419893,2.257119312516025,NA
2006,yuba river,1,1.6494609395243904,-0.48203192278917173,-0.40825293021136067,NA
2007,yuba river,0,-0.6986395614864789,0.9069990281313594,-1.178264869375401,NA
2008,yuba river,0,-0.9388318467421237,0.12170337519121287,-0.5031954721209794,NA
2009,yuba river,0,-0.013408727630073993,2.3032546990589404,0.4015511037236229,NA
2010,yuba river,0,-0.5114663090966285,NA,1.1841289675521718,NA
2011,yuba river,1,1.1353369844621404,NA,0.22283573071728172,NA
2012,yuba river,0,0.6854785237826718,NA,0.17327013898505428,NA
2013,yuba river,0,-0.8962559567135311,NA,1.399844007626232,NA
2014,yuba river,0,-0.7147059350821742,NA,-0.01382251713095917,NA
2015,yuba river,0,-0.961646097248011,NA,-1.2606414866205116,NA
2016,yuba river,0,1.4646976431738943,NA,NA,NA
2017,yuba river,1,0.5890802822085001,NA,NA,NA
2018,yuba river,0,1.4164985223868085,NA,-1.2285285680334346,NA
2019,yuba river,1,0.5007152274321758,NA,NA,NA
2020,yuba river,0,-0.6777532758120749,NA,-0.49132765438227705,NA
2021,yuba river,0,-0.9420451214612627,NA,-0.2595561550146783,NA
2022,yuba river,NA,-0.9091090555900874,NA,NA,NA
