year,stream,wy_type,max_flow_std,gdd_std,passage_index,median_passage_timing_std
1995,battle creek,NA,NA,NA,-0.6837482752557733,NA
1996,battle creek,NA,NA,NA,-0.8597314568022316,NA
1997,battle creek,NA,NA,NA,-0.4509963254685221,NA
1998,battle creek,1,NA,NA,-0.047938070958891923,-0.11897410612071171
1999,battle creek,1,NA,NA,-0.6440101374872182,0.34292536470087454
2000,battle creek,1,NA,NA,-0.6156257533668218,1.266724306344047
2001,battle creek,0,NA,NA,-0.42828881817220493,-0.73484006721616
2002,battle creek,0,NA,NA,0.2018445093005972,0.9587913257963229
2003,battle creek,1,0.6738405258178407,-0.6958099803951652,0.1961676324765179,2.806389209082668
2004,battle creek,0,-0.3871427179132728,-0.7030620253389223,-0.5475032314778702,0.034992384153150376
2005,battle creek,1,0.13947670233282733,-0.6525957399768858,-0.6440101374872182,0.034992384153150376
2006,battle creek,1,2.191743560644835,-0.6673978591086643,0.1961676324765179,0.49689185497473665
2007,battle creek,0,-1.0159882609130277,-0.11475229716179604,0.5935490101620687,-0.5808735769422979
2008,battle creek,0,-0.985785088281266,-0.37403773967147175,-0.4623500791166807,-0.8888065574900221
2009,battle creek,0,0.588652090189795,0.526805322657164,0.04289195822637685,-0.8888065574900221
2010,battle creek,0,-0.6659412345141493,-0.6865710738229812,-0.07064557825520912,0.034992384153150376
2011,battle creek,1,7.744403238906193e-5,-0.7067377193515116,-0.1557987306163986,0.6508583452485988
2012,battle creek,0,-0.21676584665718157,-0.3990721961896474,3.4774024367943523,-0.2729405963945738
2013,battle creek,0,-0.9091154962160249,-0.37334233810152245,2.393118963395206,-0.8888065574900221
2014,battle creek,0,0.8287285905961055,2.1198709763296386,1.376958011885012,-0.5808735769422979
2015,battle creek,0,-1.2003050579991628,1.1809795138166332,-0.030907440486654027,-0.8888065574900221
2016,battle creek,0,1.3553480108422056,2.5271776101570986,-0.036584317310733326,-1.1967395380377464
2017,battle creek,1,0.17819871852739352,-0.662828077363283,-0.8881158409226281,0.034992384153150376
2018,battle creek,0,1.5412136885761232,-0.09975149186717497,-0.5929182460705046,-1.1967395380377464
2019,battle creek,1,0.8132397841182789,-0.701770565280445,-0.79160893491328,1.5746572868917712
2020,battle creek,0,-0.9060177349204597,0.4828956806689354,-0.79160893491328,NA
2021,battle creek,0,-0.9648751995362003,NA,0.2642901543654695,NA
2022,battle creek,NA,-1.0585824787270504,NA,NA,NA
1997,butte creek,1,0.16081012637744377,NA,NA,NA
1998,butte creek,1,0.13194511775029932,NA,NA,NA
1999,butte creek,1,-0.12396456521720756,-0.4969378447566957,NA,NA
2000,butte creek,1,-0.19783825768945557,-0.3661875018919395,NA,NA
2001,butte creek,0,-0.37819567101183976,-0.2249529719924541,NA,NA
2002,butte creek,0,-0.6688473087047787,0.04684259042980187,NA,NA
2003,butte creek,1,0.1516969190466515,-0.3133699164779429,NA,NA
2004,butte creek,0,-0.28568302036201104,-0.2803758283033009,NA,NA
2005,butte creek,1,0.2231516910159633,-0.4012369594938543,NA,NA
2006,butte creek,1,1.112277645017874,-0.4450487814962478,NA,NA
2007,butte creek,0,-0.7386707009176261,-0.20968193773894492,NA,NA
2008,butte creek,0,-0.7809911307169132,-0.2370057304322072,NA,NA
2009,butte creek,0,0.7661865392448821,-0.08377253076210749,NA,NA
2010,butte creek,0,-0.4392600269998197,-0.43978415103340873,NA,NA
2011,butte creek,1,0.02924226975557031,-0.541633115021689,NA,NA
2012,butte creek,0,0.03706476531848207,-0.3554328715115166,NA,NA
2013,butte creek,0,-0.7130310748359752,-0.0973487867159356,NA,NA
2014,butte creek,0,-0.44620249181190386,0.2627465280753419,NA,NA
2015,butte creek,0,-0.885908226776325,0.383751895716932,-1.2938979418312608,NA
2016,butte creek,0,0.9428445640406394,4.602650058983631,-0.2616086490915436,NA
2017,butte creek,1,-0.11154635351108515,0.3092447539782937,NA,NA
2018,butte creek,0,4.07951861297645,0.010648255997783388,NA,NA
2019,butte creek,1,0.4313022448234787,-0.5411823761121993,0.4702916115807271,NA
2020,butte creek,0,-0.806623974873063,-0.26339198619373105,-0.797540826938861,NA
2021,butte creek,0,-0.7619053752384176,0.36015120641605425,1.501627288345627,NA
2022,butte creek,NA,-0.7273723167013133,-0.1370588846419733,0.3811285179353104,NA
2023,butte creek,NA,NA,-0.541633115021689,NA,NA
1995,clear creek,NA,NA,NA,-0.3876274663461952,NA
1996,clear creek,NA,NA,NA,NA,NA
1997,clear creek,NA,NA,NA,NA,NA
1998,clear creek,NA,NA,NA,-0.28799737732643976,NA
1999,clear creek,NA,NA,NA,-0.3145654010650412,NA
2000,clear creek,NA,NA,NA,-0.3721294524986777,NA
2001,clear creek,0,NA,-0.5070154792330552,-0.3920554703026288,NA
2002,clear creek,0,NA,-0.4458467587554321,-0.24593133974032078,NA
2003,clear creek,1,3.0634275644803415,-0.5849367141477931,-0.33670542084720906,NA
2004,clear creek,0,-0.5400014012318103,-0.5317033952456455,-0.17508327643738358,NA
2005,clear creek,1,0.3704735331652103,-0.6952608388290558,-0.2392893338056704,NA
2006,clear creek,1,1.6271854144456048,-0.5221147850086126,-0.22157731797993613,NA
2007,clear creek,0,-1.1298865699960772,-0.098893367649923,0.03746091347142802,NA
2008,clear creek,0,-1.1542513921841664,-0.44198927187846493,0.05074492534072874,NA
2009,clear creek,0,-0.39253010904074354,0.31507008120404534,-0.12637523291661426,NA
2010,clear creek,0,-0.23223522622436668,-0.6952608388290558,-0.34556142876007623,NA
2011,clear creek,1,0.6141217550461031,-0.6952608388290558,-0.3743434544768945,NA
